#EventTime,EventID,Lat,Lon,Depth(km),Magnitude,TextLabel
1983-05-02T23:42:38.060,nc1091100,36.2316667,-120.312,9.578,6.7,1983 M6.7
1984-04-24T21:15:18.760,nc17204,37.3096667,-121.6788333,8.193,6.2,1984 M6.2
1984-11-23T18:08:25.360,nc32321,37.4596667,-118.6071667,8.096,6.1,1984 M6.1
1986-07-08T09:20:44.560,ci700917,33.999,-116.608,9.468,6,1986 M6.0
1986-07-21T14:42:26.000,nc10085763,37.538,-118.4428333,8.804,6.4,1986 M6.4
1987-11-24T01:54:14.660,ci134894,33.09,-115.792,10.853,6.2,1987 M6.2
1987-11-24T13:15:56.710,ci628016,33.015,-115.852,11.181,6.6,1987 M6.6
1989-10-18T00:04:15.190,nc216859,37.0361667,-121.8798333,17.214,6.9,1989 M6.9
1991-08-17T19:29:40.000,nc228027,40.2516667,-124.2858333,8.32,6,1991 M6.0
1992-04-23T04:50:23.230,ci3019681,33.96,-116.317,11.629,6.1,1992 M6.1
1992-04-25T18:06:05.180,nc269151,40.3353333,-124.2286667,9.856,7.2,1992 M7.2
1992-04-26T07:41:40.090,nc268031,40.4325,-124.566,18.824,6.45,1992 M6.5
1992-04-26T11:18:25.980,nc268078,40.3828333,-124.555,21.713,6.57,1992 M6.6
1992-06-28T11:57:34.130,ci3031111,34.2,-116.437,-0.097,7.3,1992 M7.3
1992-06-28T15:05:30.730,ci3031425,34.203,-116.827,3.634,6.3,1992 M6.3
1993-05-17T23:20:50.250,ci3105173,37.165,-117.774,3.599,6.1,1993 M6.1
1993-09-21T05:45:35.230,uw10313838,42.3575,-122.0583333,8.53,6,1993 M6.0
1994-01-17T12:30:55.390,ci3144585,34.213,-118.537,18.202,6.7,1994 M6.7
1994-09-12T12:23:43.250,usp0006j9b,38.819,-119.652,14,6.1,1994 M6.1
1999-10-16T09:46:44.460,ci9108652,34.6033333,-116.265,13.73,7.1,1999 M7.1
2003-12-22T19:15:56.240,nc21323712,35.7005,-121.1005,8.382,6.5,2003 M6.5
2010-01-10T00:27:39.320,nc71338066,40.652,-124.6925,28.737,6.5,2010 M6.5
2010-04-04T22:40:42.360,ci14607652,32.2861667,-115.2953333,9.987,7.2,2010 M7.2
2014-08-24T10:20:44.070,nc72282711,38.2151667,-122.3123333,11.12,6.02,2014 M6.0
2019-07-04T17:33:49.000,ci38443183,35.7053333,-117.5038333,10.5,6.4,2019 M6.4
2019-07-06T03:19:53.040,ci38457511,35.7695,-117.5993333,8,7.1,2019 M7.1
2020-05-15T11:03:27.176,nn00725272,38.1689,-117.8497,2.7,6.5,2020 M6.5
2021-07-08T22:49:48.110,nc73584926,38.5075,-119.4998333,7.45,6,2021 M6.0
2021-12-20T20:10:31.310,nc73666231,40.3901667,-124.298,27.04,6.2,2021 M6.2
2022-12-20T10:34:24.770,nc73821036,40.525,-124.423,17.91,6.4,2022 M6.4
