name,Alternative,source author,CFM Version,model description,Descriptor,Strike,Dip,Area,Exposure,Slip Sense,References,Reference Check,ID comments,USGS ID
ETRA-NFTS-EAST-North_Frontal_Thrust_fault_lowdip-CFM5,2,CMDT,,in CFM5-Mojave Gocad project,,97.829,59.657,472024000,surface,r,,,,109b
ETRA-NFTS-WEST-North_Frontal_Thrust_fault_lowdip-CFM5,1,CMDT,CFM5,in CFM5-Mojave Gocad project,,88.728,35.0632,764444000,surface,r,,,,109a
ETRA-PMFZ-MRVS-Morongo_Valley_fault-CFM5,1,UCSB,CFM5,,,230.36,89.2163,253656000,,,,,proposed 118c,118
ETRA-PMFZ-MULT-Pinto_Mountain_fault-CFM5,1,UCSB,CFM5,,,266.036,86.9358,1166940000,surface,llss,,,,118
ETRA-SANA-MULT-Santa_Ana_fault-CFM5,1,CMDT,CFM5,"south dip, gocad project has n dip alternative",,270,,896766000,,,,,,335+339
ETRA-SBMT-WEST-Waterman_Canyon_fault-CFM5,1,CMDT,CFM5,,,94.358,86.5857,283900000,,,,,,334
GRFS-GRFZ-EAST-Garlock_fault-CFM5,1,UCSB,CFM5,,,166.747,0.754282,1803130000,surface,llss,,,,69b-c
GRFS-GRFZ-EAST-Owl_Lake_fault-CFM5,1,UCSB,CFM5,,,57.416,88.2124,239487000,surface,olln,,,,70
GRFS-GRFZ-WEST-Garlock_fault-CFM5,1,UCSB,CFM5,,,239.83,90,1432110000,surface,llss,,,,69a
GVFA-KRCS-KRCN-Kern_Canyon_fault-CFM5,1,CMDT,CFM5,,,5.44970000000001,60.4861,2058290000,,,,,,missing
GVFA-KRCS-LISA-Lake_Isabella_lineament-CFM2,1,HRVD,CFM2,,,12.378,89.0003,840553000,,,,,,missing
GVFA-PLFZ-MULT-Pleito_fault-CFM2,1,HRVD,CFM2,,CFM,91.246,43.5499,760361000,surface,r,,,,76a-b
GVFA-TDRS-COAL-Coalinga_blind_fault-CFM2,1,HRVD,CFM2,,,138.25,10.7612,499844000,,,,,,missing
GVFA-TDRS-KTLM-Kettleman_Hills_blind_fault_North_Dome-CFM2,1,HRVD,CFM2,North Dome,,127.074,17.1814,352725000,,,,,,missing
GVFA-TDRS-LSTH-Lost_Hills_blind_fault-CFM2,1,HRVD,CFM2,,,144.082,28.6494,171314000,,,,,,missing
GVFA-WWFZ-MULT-White_Wolf_fault-CFM1,1,HRVD,CFM1,,,51.99,75.7565,1451180000,surface,ollr,,X,,74
MJVA-BWFZ-MULT-Blackwater_fault-CFM5,1,UCSB,CFM5,,,145.685,85.6364,513426000,surface,rlss,,,,113
MJVA-CHFZ-MULT-Calico_Hidalgo_fault-CFM5,1,UCSB,CFM5,,,323.0319,83.2583,1769240000,surface,rlss,,,,121a-c
MJVA-CHFZ-WCLS-West_Calico_FaultA_fault-CFM5,1,CMDT,CFM5,,,150.207,88.4861,521341000,,,,,,121b
MJVA-CREC-CMPR-Camp_Rock_fault-CFM5,1,UCSB,CFM5,,,310.7657,89.6291,459417000,,rlss,,,,114a
MJVA-CREC-CPMT-Copper_Mountain_fault-CFM5,1,UCSB,CFM5,,,140.412,86.926,132967000,surface,rlss,,X,,114c
MJVA-CREC-EMRS-Emerson_fault-CFM5,1,UCSB,CFM5,,,144.397,85.2207,459057000,surface,rlss,,X,,114b
MJVA-CREC-EMRS-Galway_Lake_fault-CFM2,1,HRVD,CFM2,,,167.132,89.9771,140469000,,,,,,114b
MJVA-CREC-EMRS-North_Emerson_fault-CFM3,2,HRVD,CFM3,,,,,568631000,,,,,,114b
MJVA-CRSF-BLBS-Bicycle_Lake_fault-CFM5,1,UCSB,CFM5,,,276.04396,89.5903,249926000,surface,,,,,357
MJVA-CRSF-BLBS-Bitter_Springs_fault-CFM5,1,UCSB,CFM5,,,67.528,88.1996,134516000,,,,,,477
MJVA-CRSF-CADY-Cady_fault-CFM5,1,UCSB,CFM5,,,90.401,87.7877,286634000,surface,llss,,,,345
MJVA-CRSF-CYTL-Coyote_Lake_fault-CFM5,1,CMDT,CFM5,in CFM5-Mojave Gocad project,,165.191,90,593557000,surface,,,,,354
MJVA-CRSF-GNTM-Granite_Mountains_fault_west-CFM5,4,UCSB,CFM5,west part,,307.7846,89.9044,253191000,,,,,,467
MJVA-CRSF-GNTM-McLean_Lake_Drinkwater_Lake_fault-CFM5,1,UCSB,CFM5,,,90.288,89.4481,766868000,surface,,,,,missing
MJVA-CRSF-GNTM-Nelson_Lake_fault-CFM5,2,UCSB,CFM5,,,271.23753,89.8623,591826000,surface,,,,,missing
MJVA-CRSF-MANX-Manix_fault-CFM5,1,UCSB,CFM5,,,249.467,87.3382,523489000,surface,llss,,,,344
MJVA-CRSF-TFMT-Coyote_Canyon_fault-CFM5,1,UCSB,CFM5,,,269.878,89.3595,592446000,surface,,,,,362
MJVA-ECSZ-1992_Barstow_Trend-CFM5,1,CMDT,CFM5,,,341.263,89.7279,114440000,,,,,,missing
MJVA-ECSZ-1992_Landers_cross_fault_North_I-CFM5,1,CMDT,CFM5,,,82.241,76.66,112273000,surface,rlss,,,,missing
MJVA-ECSZ-1992_Landers_cross_fault_North_II-CFM5,1,CMDT,CFM5,,,268.535,85.5784,199249000,surface,rlss,,,,missing
