name,abb
Oceanside fault-south-east-B,OSEB
Oceanside fault-south-east-C,OSEC
Oceanside fault-south-west,OSSW
Ocotillo fault,OCTF
Ocotillo set1,OCS1
Ocotillo set2,OCS2
Ocotillo set3,OCS3
Ocotillo set4,OCS4
Ocotillo set5,OCS5
Orcutt blind fault,ORCF
Owens Valley fault,OWVF
Owl Lake fault,OWLF
Padre Juan fault-lower,PJFL
Padre Juan fault-upper,PJFU
Painted Canyon fault,PTCF
Painted Gorge Wash fault,PGWF
Palm Springs fault,PSPF
Palos Verdes fault,PLVF
Panamint Valley fault,PMVF
Paradise fault,PRDF
Paso Inferior fault,PSIF
Paso Superior detachment,PSSD
Peralta Hills fault,PRHF
Pescadores fault,PSDF
Pezzoni-Casmalia fault,PCSF
Pine Mountain fault,PMTF
Pinto Mountain fault,PTMF
Pipes Canyon,PPCF
Pipes Canyon-north-extension,PPCE
Pisgah-Bullion-West_Bullion fault,PBWB
Pitas Point fault-east,PPTE
Pitas Point fault-west,PPTW
Pitas Point fault-west-S,PPWS
Pitas Point-Ventura fault link,PPVL
Pleito fault,PLTF
Puente Hills thrust,PHTF
Raymond fault,RYMF
Red Hill fault,RDHF
Red Mountain fault-SW-strand,RMSW
Red Mountain fault-north strand,RMTN
Red Mountain fault-south strand,RMTS
Red Pass fault,RDPF
Redlands fault,RDLF
Redondo Canyon fault,RDCF
Reservoir Canyon fault,RSCF
Rialto-Colton fault,RCLF
Rinconada fault,RNCF
Rose Canyon fault,RSCF
San Andreas fault,SAF
San Antonio Canyon fault splay-truncated,SACF
San Antonio Canyon fault-truncated,SACF
San Bernardino cross fault,SBCF
San Cayetano fault,SCTF
San Clemente fault nw-strand,SCNW
San Clemente fault splay,SCLS
San Clemente fault,SCLF
San Diego Trough fault,SDTF
San Felipe fault,SFLF
San Fernando fault,SFNF
San Gabriel fault splay,SGFS
San Gorgonio Padd deep detachment,SGDD
San Gorgonio Pass midcrust detachment,SGMD
San Gorgonio Pass thrust,SGPT
San Jacinto-Claremont fault,SJCF
San Joaquin Hills fault,SJHF
San Jose fault,SJSF
San Juan fault,SJNF
San Luis Bay fault,SLBF
San Luis Range fault system,SLRF
San Mateo splay,SMTF
San Mateo-Carlsbad fault,SMCF
San Onofre fault,SONF
San Pedro Basin fault-north,SPBN
San Pedro Basin fault-south,SPBS
San Vicente fault,SVCF
Santa Ana fault,SANF
Santa Cruz Island fault,SCIF
Santa Cruz-Catalina Ridge fault,SCRF
Santa Monica Bay detachment-east,SMDE
Santa Monica Bay detachment-mid,SMDM
Santa Monica Bay detachment-west,SMDW
Santa Monica Bay fault-east,SMBE
Santa Monica Bay fault-west,SMBW
Santa Monica fault,SMCF
Santa Monica thrust,SMNT
Santa Rosa Island fault,SRIF
Santa Susana fault,SSNF
Santa Ynez River fault,SYRF
Santa Ynez Valley blind fault,SYVF
Santa Ynez fault,SYZF
Sawtooth Range fault,SWRF
Shell Beds fault,SBDF
Shoreline fault,SRLF
Sierra Cucapah fault,SCPF
Sierra Cucapah fault-NW_splay,SCPF
Sierra Cucapah fault-blind,SCPB
Sierra Madre fault,SMDF
Sierra Madre fault-west,SMDW
Sierra Madre-Cucamonga connector,SMCC
Simi-Santa Rosa fault-listric,SSRF
Smoketree Wash fault,STWF
South Cuyuma fault,SCYF
South Fork-Stoddard Canyon fault-truncated,SFSC
Southern Death Valley fault,SDVF
Southern Helendale fault,SHDF
Southern Little Lake fault,LLKF
Southern San Andreas fault,SSAF
Southern San Cayetano fault,SSCF
Southern San Gabriel fault,SSGF
Stoddard Canyon fault-truncated,SDCF
Superstition Hills fault,SSHF
Superstition Mountain fault,SSMF
Tank Canyon fault,TNKF
Tunnel Ridge-Arrastre Canyon fault,TRAC
Upland fault,UPLF
Upper Elysian Park fault,UEPF
Ventura fault,VNTF
Verdugo fault,VRDF
Walnut Creek fault,WNCF
Waterman Canyon fault,WMCF
Weber fault,WBRF
Weber fault-NE extension,WBRE
Weinert-El Centro fault,WECF
Weinert-Superstition Hills link,WSHL
West Bullion fault,WBLF
West Calico fault,WCLF
West Huasna fault,WHSF
West Mesa fault,WMSF
Western Deep fault,WSDF
Western Heights fault,WSHF
Western North Frontal thrust,WNFT
Westmorland fault splay,WMLS
Westmorland fault,WMLF
White Wolf fault,WWFF
Whittier Heights fault,WHTF
Whittier fault,WTRF
Wildomar fault,WLDF
Willard fault,WLRF
Workman Hill fault,WMHF
Yorba Linda Lineament,YRLL
Yuha Wash fault,YWSF
Yuha Well fault zone,YWLF
Yuha Well fault-north set1,YWLN
Yuha Well fault-northwest,YWNW
Yuha Well fault-west,YWLW
Yuha Well-Vista del Anza_fault,YWVA
Yuha fault,YUHA
Zaca blind fault,ZACF
