CFM7.0 Alternative Fault Object Name,Fault Area/Major Fault System,Code,Fault Zone/Region,Code,Fault Section,Code,Fault Name,Source/Author,Last Update,wAvgStrike,wAvgDip,TotalArea(km^2),Exposure,Slip Sense,ID Comments,USGS ID,Fault Strand/Model Description,References,,,,,
SAFS-SAFZ-CRRZ-San_Andreas_fault-ALT6,San Andreas Fault System,SAFS,San Andreas fault zone,SAFZ,Carrizo,CRRZ,San Andreas fault,UCSB,CFM6,119,87,2235.47,surface,rlss,,1g,CFM4 model; from Qfaults + relocated seismicity,"Bryant, 2005+updates; Hauksson et al., 2012; Nicholson et al., 2012",,,,,
SAFS-SAFZ-MJVS-San_Andreas_fault-ALT6,San Andreas Fault System,SAFS,San Andreas fault zone,SAFZ,Mojave,MJVS,San Andreas fault,UCSB,CFM6,296,90,1189.52,surface,rlss,,1h,CFM4 model; from Qfaults + relocated seismicity,"Bryant, 2005+updates; Hauksson et al., 2012; Nicholson et al., 2012",,,,,
SAFS-SAFZ-MULT-Banning_fault_strand-ALT6,San Andreas Fault System,SAFS,San Andreas fault zone,SAFZ,San Bernardino-Coachella Valley,MULT,Banning fault strand,CMDT,CFM6,294,72,1518.72,surface,rlss,,1 i-j,CFM4 model; from Qfaults + relocated seismicity,"Bryant, 2005+updates; Lin et al., 2007; Hauksson et al., 2012; Seeber and Armbruster, 1994; Nicholson et al., 2010, 2012",,,,,
SAFS-SAFZ-MULT-Garnet_Hill_fault_strand-ALT6,San Andreas Fault System,SAFS,San Andreas fault zone,SAFZ,Multiple sections,MULT,Garnet Hill fault strand,UCSB,CFM6,292,62,968.52,blind,rlss,,1j,CFM4 model; steep fault with down dip splay; Qfaults + relocated seismicity,"Bryant, 2005+updates; Lin et al., 2007; Hauksson et al., 2012; Nicholson et al., 2010, 2012, 2014",,,,,
SAFS-SAFZ-MULT-San_Andreas_fault_Fuis-ALT6,San Andreas Fault System,SAFS,San Andreas fault zone,SAFZ,Parkfield-Coachella Valley,MULT,San Andreas fault,HRVD,CFM6,122,83,8254.65,surface,rlss,,1 g-j,CFM3 FUIS propeller model-shallow,"Fuis et al., 2012",,,,,
SAFS-SAFZ-SBMT-San_Andreas_fault-ALT6,San Andreas Fault System,SAFS,San Andreas fault zone,SAFZ,San Bernardino Mountains,SBMT,San Andreas fault,UCSB,CFM6,119,90,1051.3,surface,rlss,,1i,CFM4 model; from Qfaults + relocated seismicity,"Bryant, 2005+updates; Hauksson et al., 2012; Nicholson et al., 2012",,,,,
SAFS-SGPR-SGPS-San_Gorgonio_Pass_thrust_NPS-ALT6,San Andreas Fault System,SAFS,San Gorgonio Pass fault region,SGPR,San Gorgonio Pass,SGPS,San Gorgonio Pass thrust,CRNA,CFM6,108,37,838.39,surface,r,,250,CFM5 Sara Carena North Palm Springs model,"Seeber and Armbruster, 1994; Carena et al., 2004",,,,,
SAFS-SGPR-SGPS-San_Gorgonio_Pass_thrust-ALT6,San Andreas Fault System,SAFS,San Gorgonio Pass fault region,SGPR,San Gorgonio Pass,SGPS,San Gorgonio Pass thrust,CMDT,CFM6,280,20,88.2,surface,r,,250,CFM4 model; Qfaults,"Seeber and Armbruster, 1994; Bryant, 2005+updates; Nicholson et al., 2012",,,,,
SFBY-NCRH-CNCS-Contra_Costa-ALT7,San Francisco Bay Area,SFBY,Napa-Calaveras-Rogers Creek-Hayward Fault Zone,NCRH,Contra Costa,CNCS,Contra Costa Shear Zone,HRVD,CFM7,159,81,471.24,surface,rlss,,,a simplified continuous fault as a connector to the Calaveras fault,"Graymer et al., 1994, Brossy et al. 2010",,,,,
SNFA-PMVZ-MULT-Panamint_Valley_fault_lowdip-ALT6,Sierra Nevada Fault Area,SNFA,Panamint Valley fault zone,PMVZ,Northern Panamint-Brown Mtn,MULT,Panamint Valley fault,HRVD,CFM6,153,25,2129.75,surface,orln,,67a-d,CFM2 low dip model,"Burchfiel et al., 1987; Chavez-Perez et al., 1998; Gold et al., 2020; Hayman et al., 2003",,,,,
