CFM7.0 Fault Object Name,Fault Area/Major Fault System,Code,Fault Zone/Region,Code,Fault Section,Code,Fault Name,Source/Author,Last Update,wAvgStrike,wAvgDip,TotalArea(km^2),Exposure,Slip Sense,ID Comments,USGS ID,Fault Strand/Model Description,References,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRFA-CSBL-CSML-Casmalia_fault-CFM4,Coast Ranges Fault Area,CRFA,Casmalia-Baseline fault system,CSBL,Casmalia,CSML,Casmalia fault,HRVD,CFM4,125,76,335.35,surface,orlr,,84,,"Nicholson et al., 2013; Plesch et al., 2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRFA-CSBL-LALM-Los_Alamos_fault-CFM5,Coast Ranges Fault Area,CRFA,Casmalia-Baseline fault system,CSBL,Los Alamos,LALM,Los Alamos fault,CMDT,CFM5,122,60,248.83,surface,orlr,,85,steep model,"Plesch et al., 2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRFA-CSBL-ORCT-Orcutt_blind_fault-CFM5,Coast Ranges Fault Area,CRFA,Casmalia-Baseline fault system,CSBL,Orcutt,ORCT,Orcutt blind fault,HRVD,CFM5,128,63,310.93,blind,orlr,,missing,,"Plesch et al., 2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRFA-CSBL-PEZN-Pezzoni_Casmalia_fault-CFM5,Coast Ranges Fault Area,CRFA,Casmalia-Baseline fault system,CSBL,Pezzoni-Casmalia,PEZN,Pezzoni-Casmalia fault,HRVD,CFM5,120,75,157.88,surface,orlr,,84,Partially truncated by the Lompoc blind ramp fault at depth,"Plesch et al., 2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRFA-CSBL-ZACA-Zaca_blind_fault-CFM5,Coast Ranges Fault Area,CRFA,Casmalia-Baseline fault system,CSBL,Zaca,ZACA,Zaca blind fault,HRVD,CFM5,111,48,261.67,blind,orlr,,missing,,"Plesch et al., 2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRFA-LMPZ-EAST-Lompoc_blind_ramp-CFM5,Coast Ranges Fault Area,CRFA,Lompoc Fault Zone,LMPZ,Eastern,EAST,Lompoc blind ramp,HRVD,CFM5,118,39,389.74,blind,orlr,,missing,,"Plesch et al., 2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRFA-LMPZ-WEST-Lompoc_blind_ramp-CFM5,Coast Ranges Fault Area,CRFA,Lompoc Fault Zone,LMPZ,Western,WEST,Lompoc blind ramp,HRVD,CFM5,108,39,192.77,blind,orlr,,missing,,"Plesch et al., 2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRFA-LNHZ-MULT-Lions_Head_fault-CFM4,Coast Ranges Fault Area,CRFA,Lions Head fault zone,LNHZ,Multiple sections,MULT,Lion's Head fault,HRVD,CFM4,297,75,376.25,surface,orlr,,83,,"Plesch et al., 2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRFA-LOSO-LSOS-Los_Osos_fault-CFM4,Coast Ranges Fault Area,CRFA,Los Osos fault system,LOSO,Los Osos,LSOS,Los Osos fault,HRVD,CFM4,118,45,357.64,surface,orlr,,79a-d,,"Plesch et al., 2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRFA-LPNZ-MULT-La_Panza_fault-CFM4,Coast Ranges Fault Area,CRFA,La Panza fault zone,LPNZ,Multiple sections,MULT,La Panza fault,HRVD,CFM4,316,48,1349.32,surface,orlr,,78,Qfaults + relocated seismicity,"Bryant, 2005+updates; Hauksson et al., 2012; Nicholson et al., 2013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRFA-NAFZ-MULT-Nacimiento_fault_south-CFM2,Coast Ranges Fault Area,CRFA,Nacimiento fault zone,NAFZ,Multiple sections,MULT,Nacimiento fault,HRVD,CFM2,312,64,1080.94,surface,orlr,,missing,,"Namson & Davis, 1990 (AAPG Bull.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
