CFM7.0 Fault Object Name,Fault Area/Major Fault System,Code,Fault Zone/Region,Code,Fault Section,Code,Fault Name,Source/Author,Last Update,wAvgStrike,wAvgDip,TotalArea(km^2),Exposure,Slip Sense,ID Comments,USGS ID,Fault Strand/Model Description,References,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCRA-MCMA-WGWY-Wight_Way-CFM7,Northern Coast Ranges Fault Area,NCRA,Maacama Fault Zone,MCMA,Wight Way,WGWY,Wight Way fault,HRVD,CFM7,266,69,295.87,surface,olrr,,,fault,"Qfaults, USGS (2020)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCST: NORTH COAST AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCST-SAFZ-NCST-San_Andreas-CFM7,North Coast Fault Area,NCST,San Andreas Fault Zone,SAFZ,North Coast,NCST,San Andreas fault,HRVD,CFM7,149,89,1328.46,surface,rlss,,,northernmost SAF,"Qfaults, USGS (2020)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCST-SAFZ-OFFG-Gualala-CFM7,North Coast Fault Area,NCST,San Andreas Fault Zone,SAFZ,"Gualala, offshore",OFFG,Gualala fault,HRVD,CFM7,139,90,452.37,surface,rlss,,,offshore fault,"Dickinson et al., 2005; Johnson et al., 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NCST-SAFZ-OFFS-San_Andreas-CFM7,North Coast Fault Area,NCST,San Andreas Fault Zone,SAFZ,"Shelter Cove, offshore",OFFS,San Andreas fault,HRVD,CFM7,343,90,1444.33,surface,rlss,,,offshore fault,"USGS Bay Area 3d model, USGS (2020)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCBA: OFFSHORE CONTINENTAL BORDERLAND AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCBA-CBFZ-EAST-Coronado_Bank_east_splay-CFM5,Offshore Continental Borderland Area,OCBA,Coronado Bank fault zone,CBFZ,Eastern splay,EAST,Coronado Bank east splay,UCSB,CFM5,336,40,105.7,surface,rlss,,131b,Sorlien model from MCS,"Sorlien et al., 2015; Nicholson et al., 2013; Plesch et al., 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCBA-CBFZ-NCBF-Coronado_Bank_fault_north-CFM5,Offshore Continental Borderland Area,OCBA,Coronado Bank fault zone,CBFZ,Northern Coronado Bank,NCBF,Coronado Bank fault,UCSB,CFM5,334,66,26.47,surface,rlss,,131a,Sorlien model from MCS,"Sorlien et al., 2015; Nicholson et al., 2013; Plesch et al., 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCBA-CBFZ-SCBF-Coronado_Bank_fault_south-CFM5,Offshore Continental Borderland Area,OCBA,Coronado Bank fault zone,CBFZ,Southern Coronado Bank,SCBF,Coronado Bank fault,UCSB,CFM5,344,23,160.28,surface,rlss,,131b,Sorlien model from MCS,"Sorlien et al., 2015; Nicholson et al., 2013; Plesch et al., 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCBA-CBFZ-WEST-Coronado_Bank_west_splay-CFM5,Offshore Continental Borderland Area,OCBA,Coronado Bank fault zone,CBFZ,Western splay,WEST,Coronado Bank west splay,UCSB,CFM5,339,29,35.69,surface,rlss,,131b,Sorlien model from MCS,"Sorlien et al., 2015; Nicholson et al., 2013; Plesch et al., 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCBA-CBKD-CRBS-Coronado_Bank_detachment-CFM5,Offshore Continental Borderland Area,OCBA,Coronado Bank Detachment,CBKD,Coronado Bank,CRBS,Coronado Bank detachment trim,UCSB,CFM5,338,23,1414.34,surface,orlr,,missing,Rivero + lower extension from seismicity; trimmed to seafloor,"Hauksson et al., 2012+updates; Nicholson et al., 2018, 2020; Legg et al., 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCBA-CBKD-OCNS-Coronado_Bank_detachment_upper-CFM6,Offshore Continental Borderland Area,OCBA,Coronado Bank Detachment,CBKD,Oceanside,OCNS,Coronado Bank detachment upper,UCSB,CFM6,313,32,142.47,surface,orlr,,missing,Sorlien model from MCS,"Sorlien et al., 2015; Nicholson et al., 2013; Plesch et al., 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCBA-DSCS-EAST-Descanso_fault_east_splay-CFM5,Offshore Continental Borderland Area,OCBA,Descanso fault system,DSCS,Eastern splay-south,EAST,Descanso fault-east splay,UCSB,CFM5,153,57,27.32,surface,orlr,,missing,east splay - Sorlien model from MCS,"Sorlien et al., 2015; Nicholson et al., 2013; Plesch et al., 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCBA-DSCS-MAIN-Descanso_fault-CFM5,Offshore Continental Borderland Area,OCBA,Descanso fault system,DSCS,Main-central strand,MAIN,Descanso fault,UCSB,CFM5,153,42,266.09,blind,orlr,,missing,main - Sorlien model from MCS,"Sorlien et al., 2015; Nicholson et al., 2013; Plesch et al., 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCBA-DSCS-NRTH-Descanso_fault_A-CFM5,Offshore Continental Borderland Area,OCBA,Descanso fault system,DSCS,Northern section,NRTH,Descanso fault-A,UCSB,CFM5,179,40,27.47,blind,orlr,,missing,Sorlien model from MCS,"Sorlien et al., 2015; Nicholson et al., 2013; Plesch et al., 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCBA-DSCS-NRTH-Descanso_fault_B-CFM5,Offshore Continental Borderland Area,OCBA,Descanso fault system,DSCS,Northern section,NRTH,Descanso fault-B,UCSB,CFM5,182,38,55.28,blind,orlr,,missing,Sorlien model from MCS,"Sorlien et al., 2015; Nicholson et al., 2013; Plesch et al., 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCBA-DSCS-NRTH-Descanso_fault_C-CFM5,Offshore Continental Borderland Area,OCBA,Descanso fault system,DSCS,Northern section,NRTH,Descanso fault-C,UCSB,CFM5,163,55,12.5,blind,orlr,,missing,Sorlien model from MCS,"Sorlien et al., 2015; Nicholson et al., 2013; Plesch et al., 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCBA-DSCS-RCNT-Descanso_RoseCanyon_transfer_fault-CFM5,Offshore Continental Borderland Area,OCBA,Descanso fault system,DSCS,Rose Canyon transfer,RCNT,Descanso-Rose Canyon transfer fault,UCSB,CFM5,182,46,74.84,surface,orlr,,missing,Sorlien model from MCS; CVMH,"Sorlien et al., 2015; Plesch et al., 2015; Nicholson, 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCBA-DSCS-WEST-Descanso_fault_west_splay-CFM5,Offshore Continental Borderland Area,OCBA,Descanso fault system,DSCS,Western splay-north,WEST,Descanso fault-west splay,UCSB,CFM5,156,34,65.05,surface,orlr,,missing,west splay - Sorlien model from MCS,"Sorlien et al., 2015; Nicholson et al., 2013; Plesch et al., 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCBA-ESCS-ESCB-East_Santa_Cruz_Basin_fault_A-CFM5,Offshore Continental Borderland Area,OCBA,East Santa Cruz Basin fault system,ESCS,East Santa Cruz Basin,ESCB,East Santa Cruz Basin fault-A,UCSB,CFM5,314,43,235.45,blind,orlr,,missing,Sorlien model from MCS,"Schindler et al., 2007; Nicholson et al., 2014; De Hoogh et al., 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCBA-ESCS-ESCB-East_Santa_Cruz_Basin_fault_B-CFM5,Offshore Continental Borderland Area,OCBA,East Santa Cruz Basin fault system,ESCS,East Santa Cruz Basin,ESCB,East Santa Cruz Basin fault-B,UCSB,CFM5,298,48,202.83,blind,orlr,,missing,Sorlien model from MCS,"Schindler et al., 2007; Nicholson et al., 2014; De Hoogh et al., 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCBA-ESCS-ESCB-East_Santa_Cruz_Basin_fault_D-CFM5,Offshore Continental Borderland Area,OCBA,East Santa Cruz Basin fault system,ESCS,East Santa Cruz Basin,ESCB,East Santa Cruz Basin fault-D,UCSB,CFM5,320,50,82.03,blind,orlr,,missing,Sorlien model from MCS,"Schindler et al., 2007; Nicholson et al., 2014; De Hoogh et al., 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCBA-ESCS-ESCB-East_Santa_Cruz_Basin_fault_E-CFM5,Offshore Continental Borderland Area,OCBA,East Santa Cruz Basin fault system,ESCS,East Santa Cruz Basin,ESCB,East Santa Cruz Basin fault-E,UCSB,CFM5,331,46,65.43,blind,orlr,,missing,Sorlien model from MCS,"Schindler et al., 2007; Nicholson et al., 2014; De Hoogh et al., 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCBA-ESCS-ESCB-East_Santa_Cruz_Basin_fault_main-CFM5,Offshore Continental Borderland Area,OCBA,East Santa Cruz Basin fault system,ESCS,East Santa Cruz Basin,ESCB,East Santa Cruz Basin fault-main,UCSB,CFM5,317,60,332.9,blind,orlr,,missing,Sorlien model from MCS,"Schindler et al., 2007; Nicholson et al., 2014; De Hoogh et al., 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCBA-FRFZ-SRRS-Ferrelo_fault-CFM5,Offshore Continental Borderland Area,OCBA,Ferrelo fault zone,FRFZ,Santa Rosa Ridge,SRRS,Ferrelo fault,UCSB,CFM5,333,38,400.5,surface,orlr,,missing,Sorlien model from MCS,"Schindler et al., 2007; Nicholson et al., 2014; De Hoogh et al., 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCBA-IBFS-30MB-Thirtymile_Bank_detachment-CFM5,Offshore Continental Borderland Area,OCBA,Inner Borderland fault system,IBFS,Thirtymile Bank,30MB,Thirtymile Bank detachment,UCSB,CFM5,326,21,2520.83,blind,orlr,,291,upper: mapping from Rivero; lower extension: from aligned seismicity; trimmed to seafloor,"Rivero et al., 2000 (Geology); Rivero et al., 2005 (AAPG); Hauksson et al., 2012+updates; Nicholson et al., 2018, 2020; Legg et al., 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCBA-IBFS-SCTI-Catalina_Island_detachment_upper-CFM5,Offshore Continental Borderland Area,OCBA,Inner Borderland fault system,IBFS,Santa Catalina Island,SCTI,Catalina Island detachment,UCSB,CFM5,304,34,353.18,blind,orlr,,missing,upper from MCS; Sorlien;CVMH,"Sorlien et al., 2013, 2015; Nicholson et al., 2013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCBA-NIRC-DANA-Newport_Inglewood_fault-CFM5,Offshore Continental Borderland Area,OCBA,Newport-Inglewood-Rose Canyon fault zone,NIRC,Dana Point section,DANA,Newport-Inglewood fault,UCSB,CFM5,319,77,550.42,surface,orlr,,127c,Sorlien model from MCS; CVMH,"Sorlien et al., 2015; Plesch et al., 2016; Nicholson, 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCBA-NIRC-OCNS-Newport_Inglewood_Rose_Canyon_link-CFM5,Offshore Continental Borderland Area,OCBA,Newport-Inglewood-Rose Canyon fault zone,NIRC,Oceanside section,OCNS,Newport-Inglewood-Rose Canyon link,UCSB,CFM5,135,85,101.13,surface,rlss,,127d,extended + relocated seismicity,"Hauksson et al., 2012+updates; Plesch et al., 2016; Nicholson, 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCBA-NIRC-RSCN-Rose_Canyon_fault-CFM5,Offshore Continental Borderland Area,OCBA,Newport-Inglewood-Rose Canyon fault zone,NIRC,Multiple sections-offshore,RSCN,Rose Canyon fault,UCSB,CFM5,160,83,1836.02,surface,orlr,,127f,Qfaults + relocated seismicity,"Bryant, 2005+updates; Hauksson et al., 2012+updates; Plesch et al., 2016; Nicholson, 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCBA-OCSD-OCNS-Oceanside_detachment-CFM6,Offshore Continental Borderland Area,OCBA,Oceanside Detachment,OCSD,Oceanside,OCNS,Oceanside detachment,HRVD,CFM6,343,22,1467.05,surface,orlr,,missing,Rivero model,"Rivero et al., 2000 (Geology); Rivero et al., 2005 (AAPG); Sorlien et al., 2015; Nicholson et al., 2013, 2020; Plesch et al., 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCBA-OCSD-OCNS-Oceanside_fault_north-CFM5,Offshore Continental Borderland Area,OCBA,Oceanside Detachment,OCSD,Oceanside,OCNS,Oceanside fault-north,UCSB,CFM5,356,34,69.54,blind,orlr,,293,Sorlien model from MCS,"Rivero et al., 2000 (Geology); Rivero et al., 2005 (AAPG); Sorlien et al., 2015; Plesch et al., 2015; Nicholson, 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCBA-OCSD-OCNS-Oceanside_fault_south_east_A-CFM5,Offshore Continental Borderland Area,OCBA,Oceanside Detachment,OCSD,Oceanside,OCNS,Oceanside fault-south-east-A,UCSB,CFM5,342,46,33.23,blind,orlr,,293,Sorlien model from MCS,"Rivero et al., 2000 (Geology); Rivero et al., 2005 (AAPG); Sorlien et al., 2015; Plesch et al., 2015; Nicholson, 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCBA-OCSD-OCNS-Oceanside_fault_south_east_B-CFM5,Offshore Continental Borderland Area,OCBA,Oceanside Detachment,OCSD,Oceanside,OCNS,Oceanside fault-south-east-B,UCSB,CFM5,0,47,13.29,blind,orlr,,293,Sorlien model from MCS,"Rivero et al., 2000 (Geology); Rivero et al., 2005 (AAPG); Sorlien et al., 2015; Plesch et al., 2015; Nicholson, 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCBA-OCSD-OCNS-Oceanside_fault_south_east_C-CFM5,Offshore Continental Borderland Area,OCBA,Oceanside Detachment,OCSD,Oceanside,OCNS,Oceanside fault-south-east-C,UCSB,CFM5,358,52,29.37,blind,orlr,,293,Sorlien model from MCS,"Rivero et al., 2000 (Geology); Rivero et al., 2005 (AAPG); Sorlien et al., 2015; Plesch et al., 2015; Nicholson, 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCBA-PVFZ-MULT-Palos_Verdes_fault-CFM6,Offshore Continental Borderland Area,OCBA,Palos Verdes fault zone,PVFZ,Multiple sections,MULT,Palos Verdes fault,HVRD,CFM6,124,19,2818.41,surface,orlr,,128a-e,"Wolfe, multistranded","Wolfe et al., 2022 (BSSA)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCBA-PVFZ-RDNC-Redondo_Canyon_fault-CFM6,Offshore Continental Borderland Area,OCBA,Palos Verdes fault zone,PVFZ,Redondo Canyon,RDNC,Redondo Canyon fault,HRVD,CFM6,104,55,715.96,surface,orlr,,130,,"Wolfe et al., 2022 (BSSA)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCBA-SCCR-MULT-Santa_Cruz_Catalina_Ridge_fault-CFM5,Offshore Continental Borderland Area,OCBA,Santa Cruz-Catalina Ridge fault system,SCCR,Multiple sections,MULT,Santa Cruz-Catalina Ridge fault,UCSB,CFM5,126,80,1535.65,surface,rlss,,284,Legg seafloor trace + relocated seismicity,"Legg, et al., 2004, 2015; Hauksson et al., 2012+updates; Nicholson et al., 2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCBA-SCLZ-CTLB-San_Clemente_fault_splay-CFM5,Offshore Continental Borderland Area,OCBA,San Clemente fault zone,SCLZ,Catalina Basin,CTLB,San Clemente fault splay,UCSB,CFM5,145,81,723.32,surface,rlss,,283,Legg seafloor trace + relocated seismicity,"Legg, et al., 2004, 2015; Hauksson et al., 2012+updates; Nicholson et al., 2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCBA-SCLZ-SBRI-San_Clemente_fault_nw_strand-CFM5,Offshore Continental Borderland Area,OCBA,San Clemente fault zone,SCLZ,Santa Barbara Island area,SBRI,San Clemente fault nw-strand,UCSB,CFM5,141,85,393.58,surface,rlss,,283,Qfaults + relocated seismicity,"Bryant, 2005+updates; Hauksson et al., 2012+updates; Nicholson et al., 2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCBA-SCLZ-SCBR-San_Clemente_fault-CFM5,Offshore Continental Borderland Area,OCBA,San Clemente fault zone,SCLZ,San Clemente Basin region,SCBR,San Clemente fault,UCSB,CFM5,314,90,1194.78,surface,rlss,,283,Legg seafloor trace + relocated seismicity,"Legg, et al., 2004, 2015; Hauksson et al., 2012+updates; Nicholson et al., 2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCBA-SCLZ-SCLI-San_Clemente_fault-CFM5,Offshore Continental Borderland Area,OCBA,San Clemente fault zone,SCLZ,San Clemente Island,SCLI,San Clemente fault,UCSB,CFM5,139,90,1602.5,surface,rlss,,283,Legg seafloor trace + relocated seismicity; trimmed to seafloor,"Legg, et al., 2004, 2015; Hauksson et al., 2012+updates; Nicholson et al., 2014, 2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCBA-SDTZ-30MB-San_Diego_Trough_fault-CFM5,Offshore Continental Borderland Area,OCBA,San Diego Trough fault zone,SDTZ,Thirtymile Bank,30MB,San Diego Trough fault,UCSB,CFM5,326,84,1317.83,surface,rlss,,292,Legg seafloor trace + relocated seismicity,"Legg, et al., 2004; Hauksson et al., 2012+updates; Nicholson et al., 2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCBA-SDTZ-CTLB-San_Diego_Trough_fault-CFM5,Offshore Continental Borderland Area,OCBA,San Diego Trough fault zone,SDTZ,Catalina Basin,CTLB,San Diego Trough fault,UCSB,CFM5,298,89,838.48,surface,rlss,Proposed 292,284,Legg seafloor trace + relocated seismicity,"Legg, et al., 2004; Hauksson et al., 2012+updates; Nicholson et al., 2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCBA-SDTZ-SSDT-San_Diego_Trough_fault-CFM6,Offshore Continental Borderland Area,OCBA,San Diego Trough fault zone,SDTZ,South San Diego Trough,SSDT,San Diego Trough fault,HRVD,CFM6,135,90,1010.01,surface,rlss,,292,Legg seafloor trace,"Legg, et al., 2004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCBA-SMBS-EAST-Santa_Monica_Bay_detachment-CFM5,Offshore Continental Borderland Area,OCBA,Santa Monica Bay fault system,SMBS,East,EAST,Santa Monica Bay detachment,UCSB,CFM5,310,15,95.68,blind,orlr,,missing,Sorlien model from MCS,"Sorlien et al., 2006, 2013; Nicholson et al., 2013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCBA-SMBS-EAST-Santa_Monica_Bay_fault-CFM5,Offshore Continental Borderland Area,OCBA,Santa Monica Bay fault system,SMBS,East,EAST,Santa Monica Bay fault,UCSB,CFM5,299,19,168.66,blind,r,,missing,Sorlien model from MCS,"Sorlien et al., 2003, 2006; Nicholson et al., 2013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCBA-SMBS-MIDS-Santa_Monica_Bay_detachment-CFM5,Offshore Continental Borderland Area,OCBA,Santa Monica Bay fault system,SMBS,Mid,MIDS,Santa Monica Bay detachment,UCSB,CFM5,299,12,65.33,blind,orlr,,missing,Sorlien model from MCS,"Sorlien et al., 2006, 2013; Nicholson et al., 2013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCBA-SMBS-PVAS-Santa_Monica_Bay_Compton_connector-CFM6,Offshore Continental Borderland Area,OCBA,Santa Monica Bay fault system,SMBS,Palos Verdes Anticlinorium,PVAS,Santa Monica Bay-Compton connector,UCSB,CFM6,289,15,440.59,blind,orlr,,,,"Sorlien et al., 2013; Nicholson et al., 2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCBA-SMBS-WEST-Santa_Monica_Bay_detachment-CFM5,Offshore Continental Borderland Area,OCBA,Santa Monica Bay fault system,SMBS,West,WEST,Santa Monica Bay detachment,UCSB,CFM5,268,16,110.94,blind,orlr,,missing,Sorlien model from MCS,"Sorlien et al., 2006, 2013; Nicholson et al., 2013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCBA-SMBS-WEST-Santa_Monica_Bay_fault-CFM6,Offshore Continental Borderland Area,OCBA,Santa Monica Bay fault system,SMBS,West,WEST,Santa Monica Bay fault,UCSB,CFM6,92,17,483.44,surface,r,,missing,Sorlien model from MCS,"Sorlien et al., 2003, 2006; Nicholson et al., 2013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCBA-SMCS-SMTO-San_Mateo_splay-CFM5,Offshore Continental Borderland Area,OCBA,San Mateo-San Onofre-Carlsbad fault system,SMCS,San Mateo,SMTO,San Mateo splay,UCSB,CFM5,320,44,17.53,surface,orlr,,294a,Sorlien model from MCS,"Rivero et al., 2000 (Geology); Rivero et al., 2005 (AAPG); Sorlien et al., 2015; Plesch et al., 2015; Nicholson, 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCBA-SMCS-SMTO-San_Onofre_fault-CFM6,Offshore Continental Borderland Area,OCBA,San Mateo-San Onofre-Carlsbad fault system,SMCS,San Mateo,SMTO,San Onofre fault,UCSB,CFM6,328,47,107.48,surface,orlr,,294b,upper Sorlien model from MCS +extended to depth,"Sorlien et al., 2015; Plesch et al., 2015; Nicholson, 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCBA-SMCS-SONO-San_Onofre_Carlsbad_fault-CFM6,Offshore Continental Borderland Area,OCBA,San Mateo-San Onofre-Carlsbad fault system,SMCS,San Onofre-Oceanside,SONO,San Onofre-Carlsbad fault,HRVD,CFM6,345,32,323.97,surface,orlr,,294b-c,Rivero model,"Rivero et al., 2000 (Geology); Rivero et al., 2005 (AAPG); Sorlien et al., 2015; Nicholson et al., 2013, 2020; Plesch et al., 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCBA-SPBZ-NTHS-San_Pedro_Basin_fault_north-CFM5,Offshore Continental Borderland Area,OCBA,San Pedro Basin fault zone,SPBZ,Santa Monica Bay-San Pedro Basin,NTHS,San Pedro Basin fault-north,UCSB,CFM5,141,90,793.89,surface,rlss,,282,northern sections; Qfaults + relocated seismicity,"Bryant, 2005+updates; Hauksson et al., 2012+updates; Nicholson et al., 2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCBA-SPBZ-STHS-San_Pedro_Basin_fault_south-CFM5,Offshore Continental Borderland Area,OCBA,San Pedro Basin fault zone,SPBZ,San Pedro Basin-San Diego Trough,STHS,San Pedro Basin fault-south,UCSB,CFM5,139,90,531.79,surface,rlss,,282,south section-Legg seafloor trace + seismicity,"Legg, et al., 2004; Hauksson et al., 2012+updates; Nicholson et al., 2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCBA-SPES-MULT-San_Pedro_Escarpment_Compton_connector-CFM6,Offshore Continental Borderland Area,OCBA,San Pedro Escarpment fault system,SPES,Multiple sections,MULT,San Pedro Escarpment-Compton connector,UCSB,CFM6,118,9,186.5,blind,orlr,,,"combined updip extension and mid connector model, truncated against Palos Verdes, trimmed","Sorlien et al., 2013; Nicholson et al., 2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCBA-SPES-PVDS-San_Pedro_Escarpment_fault_B-CFM5,Offshore Continental Borderland Area,OCBA,San Pedro Escarpment fault system,SPES,Palos Verdes,PVDS,San Pedro Escarpment fault-B,UCSB,CFM5,304,49,45.05,blind,orlr,,,Sorlien model from MCS; CVMH,"Sorlien et al., 2013; Nicholson et al., 2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCBA-SPES-SMBS-San_Pedro_Escarpment_fault_A-CFM5,Offshore Continental Borderland Area,OCBA,San Pedro Escarpment fault system,SPES,Santa Monica Bay,SMBS,San Pedro Escarpment fault-A,UCSB,CFM5,299,60,37.5,blind,orlr,,,Sorlien model from MCS; CVMH,"Sorlien et al., 2013; Nicholson et al., 2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCBA-SPES-SPBS-San_Pedro_Escarpment_fault_C-CFM5,Offshore Continental Borderland Area,OCBA,San Pedro Escarpment fault system,SPES,San Pedro Basin,SPBS,San Pedro Escarpment fault-C,UCSB,CFM5,309,43,73.86,blind,orlr,,,Sorlien model from MCS; CVMH,"Sorlien et al., 2013; Nicholson et al., 2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCBA-SPES-SPBS-San_Pedro_Escarpment_fault_D-CFM5,Offshore Continental Borderland Area,OCBA,San Pedro Escarpment fault system,SPES,San Pedro Basin,SPBS,San Pedro Escarpment fault-D,UCSB,CFM5,320,47,80.11,blind,orlr,,,Sorlien model from MCS; CVMH,"Sorlien et al., 2013; Nicholson et al., 2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCBA-SPES-SPBS-San_Pedro_Escarpment_fault_E-CFM5,Offshore Continental Borderland Area,OCBA,San Pedro Escarpment fault system,SPES,San Pedro Basin,SPBS,San Pedro Escarpment fault-E,UCSB,CFM5,299,24,24.59,blind,orlr,,,Sorlien model from MCS; CVMH,"Sorlien et al., 2013; Nicholson et al., 2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCBA-SPES-SPBS-San_Pedro_Escarpment_fault_F-CFM5,Offshore Continental Borderland Area,OCBA,San Pedro Escarpment fault system,SPES,San Pedro Basin,SPBS,San Pedro Escarpment fault-F,UCSB,CFM5,320,49,50.08,blind,orlr,,,Sorlien model from MCS; CVMH,"Sorlien et al., 2013; Nicholson et al., 2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCBA-SPES-SPBS-San_Pedro_Escarpment_fault_YngB-CFM5,Offshore Continental Borderland Area,OCBA,San Pedro Escarpment fault system,SPES,San Pedro Basin,SPBS,San Pedro Escarpment fault-YngB,UCSB,CFM5,318,30,32.89,blind,orlr,,,Sorlien model from MCS; CVMH,"Sorlien et al., 2013; Nicholson et al., 2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCBA-WBFS-HNTB-Huntington_Beach_fault-CFM5,Offshore Continental Borderland Area,OCBA,Wilmington Blind Fault System,WBFS,Huntington Beach,HNTB,Huntington Beach fault,HRVD,CFM5,294,40,169.47,blind,orlr,,260,Wolfe model from MCS,"Wolfe et al., 2019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCBA-WBFS-TRNC-Torrance_blind_fault-CFM5,Offshore Continental Borderland Area,OCBA,Wilmington Blind Fault System,WBFS,Torrance,TRNC,Torrance blind fault,HRVD,CFM5,302,37,262.11,blind,orlr,,260,Wolfe model from MCS,"Wolfe et al., 2019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCBA-WBFS-WLMT-Wilmington_blind_fault-CFM5,Offshore Continental Borderland Area,OCBA,Wilmington Blind Fault System,WBFS,Wilmington,WLMT,Wilmington blind fault,HRVD,CFM5,298,38,170.52,blind,orlr,,260,Wolfe model from MCS,"Wolfe et al., 2019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCCA: OFFSHORE CENTRAL CALIFORNIA AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCCA-HSFZ-MULT-Hosgri_fault-CFM5,Offshore Central California Area,OCCA,Hosgri-San Simeon fault zone,HSFZ,Multiple sections,MULT,Hosgri fault,UCSB,CFM5,333,84,2346.75,surface,orlr,,80+81a-e,coastal Qfaults+seismicity+Willingham/Sorlien models,"Walton et al., 2019; Hauksson et al. 2012+updates; Willingham et al., 2013; Sorlien et al., 2015; Nicholson et al., 2019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
