CFM5.3 Fault Object Name,Num,Fault Area/Major Fault System,Code,Num,Fault Zone/Region,Code,Num,Fault Section,Code,Num,Fault Name,Code,Alternative,Source/Author,Last Update,Descriptor,Avg Strike,Avg Dip,Area [km^2],Exposure,Slip Sense,ID Comments,USGS ID,Fault Strand/Model Description,References,,,,,,,,,,,,,,,,,,,,
SAFS-SAFZ-COAV-East_Shoreline_fault-CFM5,01,San Andreas Fault System,SAFS,02,San Andreas fault zone,SAFZ,10,Coachella,COAV,06,East Shoreline Fault,ESHR,01,HRVD,CFM5,,312,60,258.63,surface,rlss,,,from Janecke et al. 2018 (Lithosphere) mapping,"Janecke et al., 2018 (Lithosphere)",,,,,,,,,,,,,,,,,,,,
SAFS-SAFZ-BSZS-Southern_San_Andreas_blind_extension-CFM4,01,San Andreas Fault System,SAFS,01,San Andreas fault zone,SAFZ,11,Brawley Seismic Zone,BSZS,01,Southern San Andreas fault,SSAF,01,UCSB,CFM4,,322,90,72.97,blind,rlss,proposed qfaults id,1k,blind vertical extension @ Bombay Beach,"Nicholson et al., 2010, 2014",,,,,,,,,,,,,,,,,,,,
SAFS-SGPR-SGPS-San_Gorgonio_Pass_thrust-CFM4,01,San Andreas Fault System,SAFS,02,San Gorgonio Pass fault region,SGPR,01,San Gorgonio Pass,SGPS,01,San Gorgonio Pass thrust,SGPT,01,CMDT,CFM4,ALT1,280,20,88.20,surface,rlss,,250,CFM4 model; Qfaults,"Seeber and Armbruster, 1994; Bryant, 2005+updates; Nicholson et al., 2012",,,,,,,,,,,,,,,,,,,,
SAFS-SGPR-SJMT-Palm_Springs_blind_fault-CFM4,01,San Andreas Fault System,SAFS,02,San Gorgonio Pass fault region,SGPR,02,San Jacinto Mountains,SJMT,01,Palm Springs fault,PSPF,01,UCSB,CFM4,BLND,302,59,267.62,blind,rlss,,missing,CFM4 model-blind; relocated seismicity,"Seeber and Armbruster, 1994; Hauksson et al., 2012; Nicholson et al., 2012",,,,,,,,,,,,,,,,,,,,
SAFS-SGPR-SJMT-Beaumont_A_blind_fault-CFM5,01,San Andreas Fault System,SAFS,02,San Gorgonio Pass fault region,SGPR,02,San Jacinto Mountains,SJMT,02,Beaumont A fault,BMTA,01,UCSB,CFM5,BLND,311,63,213.67,blind,orlr,,missing,CFM5 model-blind; relocated seismicity,"Seeber and Armbruster, 1994; Hauksson et al., 2012; Nicholson et al., 2012",,,,,,,,,,,,,,,,,,,,
SAFS-SGPR-SJMT-Beaumont_B_blind_fault-CFM5,01,San Andreas Fault System,SAFS,02,San Gorgonio Pass fault region,SGPR,02,San Jacinto Mountains,SJMT,03,Beaumont B fault,BMTB,01,UCSB,CFM5,BLND,302,57,181.69,blind,orlr,,missing,CFM5 model-blind; relocated seismicity,"Seeber and Armbruster, 1994; Hauksson et al., 2012; Nicholson et al., 2012",,,,,,,,,,,,,,,,,,,,
SAFS-SGPR-SJMT-Beaumont_C_blind_fault-CFM5,01,San Andreas Fault System,SAFS,02,San Gorgonio Pass fault region,SGPR,02,San Jacinto Mountains,SJMT,05,Beaumont C fault,BMTC,01,UCSB,CFM5,,297,59,304.15,blind,orlr,,missing,CFM5 model-blind; relocated seismicity,"Seeber and Armbruster, 1994; Hauksson et al., 2012; Nicholson et al., 2012",,,,,,,,,,,,,,,,,,,,
SAFS-SGPR-SJMT-Beaumont_D_blind_fault-CFM5,01,San Andreas Fault System,SAFS,02,San Gorgonio Pass fault region,SGPR,02,San Jacinto Mountains,SJMT,06,Beaumont D fault,BMTD,01,UCSB,CFM5,,300,56,226.83,blind,orlr,,missing,CFM5 model-blind; relocated seismicity,"Seeber and Armbruster, 1994; Hauksson et al., 2012; Nicholson et al., 2012",,,,,,,,,,,,,,,,,,,,
SAFS-SGPR-SJMT-San_Gorgonio_Pass_deep_detachment-CFM5,01,San Andreas Fault System,SAFS,02,San Gorgonio Pass fault region,SGPR,02,San Jacinto Mountains,SJMT,08,San Gorgonio Pass deep detachment,SGDD,01,UCSB,CFM5,,283,9,713.42,blind,r,,missing,blind; from seismicity,"Nicholson et al., 1986; Seeber and Armbruster, 1994; Hauksson et al., 2012; Nicholson et al., 2014",,,,,,,,,,,,,,,,,,,,
SAFS-SGPR-SJMT-San_Gorgonio_Pass_midcrust_detachment-CFM5,01,San Andreas Fault System,SAFS,02,San Gorgonio Pass fault region,SGPR,02,San Jacinto Mountains,SJMT,07,San Gorgonio Pass midcrust detachment,SGMD,01,UCSB,CFM5,,281,3,913.79,blind,r,,missing,blind; from seismicity,"Nicholson and Lees, 1992; Nicholson, 1996; Hauksson et al., 2012; Nicholson et al., 2014",,,,,,,,,,,,,,,,,,,,
