name,area,aabb,zone,zabb,section,sabb,fault
OCBA-SMCS-SMTO-San_Onofre_fault-CFM6,Offshore Continental Borderland Area,OCBA,San Mateo-San Onofre-Carlsbad fault system,SMCS,San Mateo,SMTO,San Onofre fault
OCBA-SMCS-SONO-San_Onofre_Carlsbad_fault-CFM6,Offshore Continental Borderland Area,OCBA,San Mateo-San Onofre-Carlsbad fault system,SMCS,San Onofre-Oceanside,SONO,San Onofre-Carlsbad fault
OCBA-SPBZ-NTHS-San_Pedro_Basin_fault_north-CFM5,Offshore Continental Borderland Area,OCBA,San Pedro Basin fault zone,SPBZ,Santa Monica Bay-San Pedro Basin,NTHS,San Pedro Basin fault-north
OCBA-SPBZ-STHS-San_Pedro_Basin_fault_south-CFM5,Offshore Continental Borderland Area,OCBA,San Pedro Basin fault zone,SPBZ,San Pedro Basin-San Diego Trough,STHS,San Pedro Basin fault-south
OCBA-SPES-MULT-San_Pedro_Escarpment_Compton_connector-CFM6,Offshore Continental Borderland Area,OCBA,San Pedro Escarpment fault system,SPES,Multiple Sections,MULT,San Pedro Escarpment-Compton connector
OCBA-SPES-PVDS-San_Pedro_Escarpment_fault_B-CFM5,Offshore Continental Borderland Area,OCBA,San Pedro Escarpment fault system,SPES,Palos Verdes,PVDS,San Pedro Escarpment fault-B
OCBA-SPES-SMBS-San_Pedro_Escarpment_fault_A-CFM5,Offshore Continental Borderland Area,OCBA,San Pedro Escarpment fault system,SPES,Santa Monica Bay,SMBS,San Pedro Escarpment fault-A
OCBA-SPES-SPBS-San_Pedro_Escarpment_fault_C-CFM5,Offshore Continental Borderland Area,OCBA,San Pedro Escarpment fault system,SPES,San Pedro Basin,SPBS,San Pedro Escarpment fault-C
OCBA-SPES-SPBS-San_Pedro_Escarpment_fault_D-CFM5,Offshore Continental Borderland Area,OCBA,San Pedro Escarpment fault system,SPES,San Pedro Basin,SPBS,San Pedro Escarpment fault-D
OCBA-SPES-SPBS-San_Pedro_Escarpment_fault_E-CFM5,Offshore Continental Borderland Area,OCBA,San Pedro Escarpment fault system,SPES,San Pedro Basin,SPBS,San Pedro Escarpment fault-E
OCBA-SPES-SPBS-San_Pedro_Escarpment_fault_F-CFM5,Offshore Continental Borderland Area,OCBA,San Pedro Escarpment fault system,SPES,San Pedro Basin,SPBS,San Pedro Escarpment fault-F
OCBA-SPES-SPBS-San_Pedro_Escarpment_fault_YngB-CFM5,Offshore Continental Borderland Area,OCBA,San Pedro Escarpment fault system,SPES,San Pedro Basin,SPBS,San Pedro Escarpment fault-YngB
OCBA-WBFS-HNTB-Huntington_Beach_fault-CFM5,Offshore Continental Borderland Area,OCBA,Wilmington Blind Fault System,WBFS,Huntington Beach,HNTB,Huntington Beach fault
OCBA-WBFS-TRNC-Torrance_blind_fault-CFM5,Offshore Continental Borderland Area,OCBA,Wilmington Blind Fault System,WBFS,Torrance,TRNC,Torrance blind fault
OCBA-WBFS-WLMT-Wilmington_blind_fault-CFM5,Offshore Continental Borderland Area,OCBA,Wilmington Blind Fault System,WBFS,Wilmington,WLMT,Wilmington blind fault
OCCA-HSFZ-MULT-Hosgri_fault-CFM5,Offshore Central California Area,OCCA,Hosgri-San Simeon fault zone,HSFZ,Multiple sections,MULT,Hosgri fault
OCCA-HSFZ-STHN-Southern_Hosgri_fault-CFM5,Offshore Central California Area,OCCA,Hosgri-San Simeon fault zone,HSFZ,Southern,STHN,Southern Hosgri fault
OCCA-OSMB-EAST-Lompoc_fault-CFM5,Offshore Central California Area,OCCA,Offshore Santa Maria Basin system,OSMB,Eastern,EAST,Lompoc fault
OCCA-OSMB-EAST-Purisima_fault_center-CFM5,Offshore Central California Area,OCCA,Offshore Santa Maria Basin system,OSMB,Eastern,EAST,Purisima fault-center
OCCA-OSMB-EAST-Purisima_fault_east-CFM5,Offshore Central California Area,OCCA,Offshore Santa Maria Basin system,OSMB,Eastern,EAST,Purisima fault-east
OCCA-OSMB-EAST-Purisima_fault_north-CFM5,Offshore Central California Area,OCCA,Offshore Santa Maria Basin system,OSMB,Eastern,EAST,Purisima fault-north
OCCA-OSMB-EAST-Purisima_fault_south-CFM5,Offshore Central California Area,OCCA,Offshore Santa Maria Basin system,OSMB,Eastern,EAST,Purisima fault-south
OCCA-OSMB-EAST-Purisima_fault_west-CFM5,Offshore Central California Area,OCCA,Offshore Santa Maria Basin system,OSMB,Eastern,EAST,Purisima fault-west
OCCA-OSMB-EAST-Santa_Maria_Basin_thrust_A-CFM5,Offshore Central California Area,OCCA,Offshore Santa Maria Basin system,OSMB,Eastern,EAST,Santa Maria Basin thrust-A
OCCA-OSMB-EAST-Santa_Maria_Basin_thrust_B-CFM5,Offshore Central California Area,OCCA,Offshore Santa Maria Basin system,OSMB,Eastern,EAST,Santa Maria Basin thrust-B
OCCA-OSMB-EAST-Santa_Maria_Basin_thrust_C-CFM5,Offshore Central California Area,OCCA,Offshore Santa Maria Basin system,OSMB,Eastern,EAST,Santa Maria Basin thrust-C
OCCA-OSMB-WEST-West_Basin_fault_A-CFM5,Offshore Central California Area,OCCA,Offshore Santa Maria Basin system,OSMB,Western,WEST,West Basin fault-A
OCCA-OSMB-WEST-West_Basin_fault_B-CFM5,Offshore Central California Area,OCCA,Offshore Santa Maria Basin system,OSMB,Western,WEST,West Basin fault-B
OCCA-OSMB-WEST-West_Basin_fault_C-CFM5,Offshore Central California Area,OCCA,Offshore Santa Maria Basin system,OSMB,Western,WEST,West Basin fault-C
OCCA-SLBS-MULT-Santa_Lucia_Bank_fault-CFM5,Offshore Central California Area,OCCA,Santa Lucia Bank fault system,SLBS,Multiple sections,MULT,Santa Lucia Bank fault
OCCA-SLBS-NWST-Santa_Lucia_Bank_west_fault-CFM5,Offshore Central California Area,OCCA,Santa Lucia Bank fault system,SLBS,North-Western,NWST,Santa Lucia Bank west fault
OCCA-SLBS-NWST-Sur_fault_B-CFM5,Offshore Central California Area,OCCA,Santa Lucia Bank fault system,SLBS,North-Western,NWST,Sur fault-B
OCCA-SLBS-NWST-Sur_fault_C-CFM5,Offshore Central California Area,OCCA,Santa Lucia Bank fault system,SLBS,North-Western,NWST,Sur fault-C
OCCA-SLBS-NWST-Sur_fault_D-CFM5,Offshore Central California Area,OCCA,Santa Lucia Bank fault system,SLBS,North-Western,NWST,Sur fault-D
PNRA-ATEV-MULT-Agua_Tibia_Earthquake_Valley_fault_east-CFM4,Peninsular Ranges Area,PNRA,Agua Tibia-Earthquake Valley fault zone,ATEV,Multiple sections,MULT,Agua Tibia-Earthquake Valley fault-east
PNRA-ATEV-MULT-Agua_Tibia_Earthquake_Valley_fault_main-CFM4,Peninsular Ranges Area,PNRA,Agua Tibia-Earthquake Valley fault zone,ATEV,Multiple sections,MULT,Agua Tibia-Earthquake Valley fault
PNRA-ATEV-MULT-Agua_Tibia_Earthquake_Valley_fault_west-CFM4,Peninsular Ranges Area,PNRA,Agua Tibia-Earthquake Valley fault zone,ATEV,Multiple sections,MULT,Agua Tibia-Earthquake Valley fault-west
PNRA-CLEP-BLDH-Compton_Los_Alamitos_fault-CFM5,Peninsular Ranges Area,PNRA,Compton-Lower Elysian Park fault system,CLEP,Baldwin Hills,BLDH,Compton-Los Alamitos fault
PNRA-CLEP-LABS-Anaheim_fault-CFM1,Peninsular Ranges Area,PNRA,Compton-Lower Elysian Park fault system,CLEP,Los Angeles Basin,LABS,Anaheim fault
PNRA-CLEP-LABS-Compton_Los_Alamitos_fault-CFM2,Peninsular Ranges Area,PNRA,Compton-Lower Elysian Park fault system,CLEP,Los Angeles Basin,LABS,Compton-Los_Alamitos fault
PNRA-CLEP-PHLS-Lower_Elysian_Park_fault-CFM1,Peninsular Ranges Area,PNRA,Compton-Lower Elysian Park fault system,CLEP,Puente Hills,PHLS,Lower Elysian Park fault
PNRA-CRSF-ALCM-Sawtooth_Range_fault-CFM4,Peninsular Ranges Area,PNRA,Cross Faults,CRSF,Allicito Mountains,ALCM,Sawtooth Range fault
PNRA-CRSF-CHNH-Yorba_Linda_lineament-CFM2,Peninsular Ranges Area,PNRA,Cross Faults,CRSF,Chino Hills,CHNH,Yorba Linda Lineament
PNRA-CRSF-CYMT-Devils_Canyon_fault-CFM4,Peninsular Ranges Area,PNRA,Cross Faults,CRSF,Coyote Mountains,CYMT,Devil's Canyon fault
PNRA-CRSF-EMCP-El_Mayor_Cucapah_normal_fault-CFM4,Peninsular Ranges Area,PNRA,Cross Faults,CRSF,El Mayor-Cucapah,EMCP,El Mayor-Cucapah normal fault
PNRA-CRSF-EMCP-El_Mayor_Cucapah_west_fault-CFM4,Peninsular Ranges Area,PNRA,Cross Faults,CRSF,El Mayor-Cucapah,EMCP,El Mayor-Cucapah west fault
PNRA-CRSF-OCOT-Ocotillo_fault-CFM5,Peninsular Ranges Area,PNRA,Cross Faults,CRSF,Ocotillo,OCOT,Ocotillo fault
PNRA-CRSF-OCOT-Ocotillo_set1-CFM4,Peninsular Ranges Area,PNRA,Cross Faults,CRSF,Ocotillo,OCOT,Ocotillo set1
PNRA-CRSF-OCOT-Ocotillo_set2-CFM4,Peninsular Ranges Area,PNRA,Cross Faults,CRSF,Ocotillo,OCOT,Ocotillo set2
PNRA-CRSF-OCOT-Ocotillo_set3-CFM4,Peninsular Ranges Area,PNRA,Cross Faults,CRSF,Ocotillo,OCOT,Ocotillo set3
PNRA-CRSF-OCOT-Ocotillo_set4-CFM4,Peninsular Ranges Area,PNRA,Cross Faults,CRSF,Ocotillo,OCOT,Ocotillo set4
PNRA-CRSF-OCOT-Ocotillo_set5-CFM4,Peninsular Ranges Area,PNRA,Cross Faults,CRSF,Ocotillo,OCOT,Ocotillo set5
PNRA-CRSF-PGWS-Painted_Gorge_Wash_fault-CFM4,Peninsular Ranges Area,PNRA,Cross Faults,CRSF,Painted Gorge Wash,PGWS,Painted Gorge Wash fault
PNRA-CRSF-USAV-Fontana_Seismicity_lineament-CFM1,Peninsular Ranges Area,PNRA,Cross Faults,CRSF,Upper Santa Ana Valley,USAV,Fontana Seismicity lineament
PNRA-CRSF-USAV-Red_Hill_fault-CFM5,Peninsular Ranges Area,PNRA,Cross Faults,CRSF,Upper Santa Ana Valley,USAV,Red Hill fault
PNRA-CRSF-YUHA-Shell_Beds_fault-CFM5,Peninsular Ranges Area,PNRA,Cross Faults,CRSF,Yuha Desert,YUHA,Shell Beds fault
PNRA-CRSF-YUHA-Yuha_fault-CFM5,Peninsular Ranges Area,PNRA,Cross Faults,CRSF,Yuha Desert,YUHA,Yuha fault
PNRA-CRSF-YUHA-Yuha_Wash_fault-CFM5,Peninsular Ranges Area,PNRA,Cross Faults,CRSF,Yuha Desert,YUHA,Yuha Wash fault
PNRA-CRSF-YUHA-Yuha_Well_fault-CFM5,Peninsular Ranges Area,PNRA,Cross Faults,CRSF,Yuha Desert,YUHA,Yuha Well fault zone
PNRA-CRSF-YUHA-Yuha_Well_fault_north_set1-CFM5,Peninsular Ranges Area,PNRA,Cross Faults,CRSF,Yuha Desert,YUHA,Yuha Well fault-north set1
PNRA-CRSF-YUHA-Yuha_Well_fault_northwest-CFM5,Peninsular Ranges Area,PNRA,Cross Faults,CRSF,Yuha Desert,YUHA,Yuha Well fault-northwest
PNRA-CRSF-YUHA-Yuha_Well_fault_west-CFM5,Peninsular Ranges Area,PNRA,Cross Faults,CRSF,Yuha Desert,YUHA,Yuha Well fault-west
PNRA-CRSF-YUHA-Yuha_Well_Vista_del_Anza_fault-CFM5,Peninsular Ranges Area,PNRA,Cross Faults,CRSF,Yuha Desert,YUHA,Yuha Well-Vista del Anza fault
PNRA-CSTF-SJQH-San_Joaquin_Hills_fault-CFM3,Peninsular Ranges Area,PNRA,Coastal Faults,CSTF,San Joaquin Hills,SJQH,San Joaquin Hills fault
PNRA-DVVZ-DVSV-Davies_Valley_fault-CFM5,Peninsular Ranges Area,PNRA,Davies Valley fault zone,DVVZ,Davies Valley,DVSV,Davies Valley fault
PNRA-DVVZ-NDVS-Northern_Davies_Valley_set1-CFM4,Peninsular Ranges Area,PNRA,Davies Valley fault zone,DVVZ,Northern Davies Valley,NDVS,Northern Davies Valley fault
PNRA-DVVZ-WDVV-West_Davies_Valley_fault-CFM6,Peninsular Ranges Area,PNRA,Davies Valley fault zone,DVVZ,West Davies Valley,WDVV,West Davies Valley fault
PNRA-ELSZ-CHNO-Chino_fault_Central_Ave-CFM4,Peninsular Ranges Area,PNRA,Elsinore-Laguna Salada fault zone,ELSZ,Chino,CHNO,Chino Fault
PNRA-ELSZ-CHNO-Chino_fault_main-CFM4,Peninsular Ranges Area,PNRA,Elsinore-Laguna Salada fault zone,ELSZ,Chino,CHNO,Chino Fault
PNRA-ELSZ-CYMT-Elsinore_fault-CFM4,Peninsular Ranges Area,PNRA,Elsinore-Laguna Salada fault zone,ELSZ,Coyote Mountain,CYMT,Elsinore fault
PNRA-ELSZ-GLIV-Glen_Ivy_North_fault-CFM4,Peninsular Ranges Area,PNRA,Elsinore-Laguna Salada fault zone,ELSZ,Glen Ivy,GLIV,Glen Ivy North fault
PNRA-ELSZ-GLIV-Glen_Ivy_South_fault-CFM4,Peninsular Ranges Area,PNRA,Elsinore-Laguna Salada fault zone,ELSZ,Glen Ivy,GLIV,Glen Ivy South fault
PNRA-ELSZ-INDV-Indiviso_fault-CFM4,Peninsular Ranges Area,PNRA,Elsinore-Laguna Salada fault zone,ELSZ,Indiviso,INDV,Indiviso fault
PNRA-ELSZ-INDV-Indiviso_fault_splay-CFM4,Peninsular Ranges Area,PNRA,Elsinore-Laguna Salada fault zone,ELSZ,Indiviso,INDV,Indiviso fault
PNRA-ELSZ-JULN-Elsinore_fault_north-CFM4,Peninsular Ranges Area,PNRA,Elsinore-Laguna Salada fault zone,ELSZ,Julian,JULN,Elsinore fault-north
PNRA-ELSZ-JULN-Elsinore_fault_south-CFM4,Peninsular Ranges Area,PNRA,Elsinore-Laguna Salada fault zone,ELSZ,Julian,JULN,Elsinore fault-south
PNRA-ELSZ-JULN-Elsinore_fault_Wildomar_link-CFM4,Peninsular Ranges Area,PNRA,Elsinore-Laguna Salada fault zone,ELSZ,Julian,JULN,Elsinore-Wildomar link
PNRA-ELSZ-LGSD-Laguna_Salada_fault_east_branch_dipping-CFM5,Peninsular Ranges Area,PNRA,Elsinore-Laguna Salada fault zone,ELSZ,Laguna Salada,LGSD,Laguna Salada fault-east branch
PNRA-ELSZ-LGSD-Laguna_Salada_fault_east_branch_dipping_splay-CFM5,Peninsular Ranges Area,PNRA,Elsinore-Laguna Salada fault zone,ELSZ,Laguna Salada,LGSD,Laguna Salada fault-east branch
PNRA-ELSZ-LGSD-Laguna_Salada_fault_north-CFM5,Peninsular Ranges Area,PNRA,Elsinore-Laguna Salada fault zone,ELSZ,Laguna Salada,LGSD,Laguna Salada fault-north
PNRA-ELSZ-LGSD-Laguna_Salada_fault_south-CFM5,Peninsular Ranges Area,PNRA,Elsinore-Laguna Salada fault zone,ELSZ,Laguna Salada,LGSD,Laguna Salada fault-south
PNRA-ELSZ-LGSD-Laguna_Salada_fault_west_branch_center-CFM5,Peninsular Ranges Area,PNRA,Elsinore-Laguna Salada fault zone,ELSZ,Laguna Salada,LGSD,Laguna Salada fault-west branch
PNRA-ELSZ-LGSD-Laguna_Salada_fault_west_branch_deep_splay-CFM5,Peninsular Ranges Area,PNRA,Elsinore-Laguna Salada fault zone,ELSZ,Laguna Salada,LGSD,Laguna Salada fault-west branch
PNRA-ELSZ-LGSD-Laguna_Salada_fault_west_branch_east-CFM5,Peninsular Ranges Area,PNRA,Elsinore-Laguna Salada fault zone,ELSZ,Laguna Salada,LGSD,Laguna Salada fault-west branch
PNRA-ELSZ-LGSD-Laguna_Salada_fault_west_branch_west-CFM5,Peninsular Ranges Area,PNRA,Elsinore-Laguna Salada fault zone,ELSZ,Laguna Salada,LGSD,Laguna Salada fault-west branch
PNRA-ELSZ-SRCP-Borrego_fault-CFM4,Peninsular Ranges Area,PNRA,Elsinore-Laguna Salada fault zone,ELSZ,Sierra Cucapah,SRCP,Borrego fault
PNRA-ELSZ-SRCP-Paso_Inferior_fault-CFM4,Peninsular Ranges Area,PNRA,Elsinore-Laguna Salada fault zone,ELSZ,Sierra Cucapah,SRCP,Paso Inferior fault
PNRA-ELSZ-SRCP-Paso_Superior_fault-CFM4,Peninsular Ranges Area,PNRA,Elsinore-Laguna Salada fault zone,ELSZ,Sierra Cucapah,SRCP,Paso Superior detachment
PNRA-ELSZ-SRCP-Pescadores_fault-CFM4,Peninsular Ranges Area,PNRA,Elsinore-Laguna Salada fault zone,ELSZ,Sierra Cucapah,SRCP,Pescadores fault
PNRA-ELSZ-SRCP-Sierra_Cucapah_fault-CFM4,Peninsular Ranges Area,PNRA,Elsinore-Laguna Salada fault zone,ELSZ,Sierra Cucapah,SRCP,Sierra Cucapah fault
PNRA-ELSZ-TMCL-Wildomar_fault-CFM4,Peninsular Ranges Area,PNRA,Elsinore-Laguna Salada fault zone,ELSZ,Temecula,TMCL,Wildomar fault
PNRA-ELSZ-TMCL-Willard_fault-CFM4,Peninsular Ranges Area,PNRA,Elsinore-Laguna Salada fault zone,ELSZ,Temecula,TMCL,Willard fault
PNRA-ELSZ-WHIT-East_Montebello_fault-CFM3,Peninsular Ranges Area,PNRA,Elsinore-Laguna Salada fault zone,ELSZ,Whittier,WHIT,East Montebello fault
PNRA-ELSZ-WHIT-Whittier_fault-CFM6,Peninsular Ranges Area,PNRA,Elsinore-Laguna Salada fault zone,ELSZ,Whittier,WHIT,Whittier fault
PNRA-ELSZ-WHIT-Whittier_Heights_fault-CFM1,Peninsular Ranges Area,PNRA,Elsinore-Laguna Salada fault zone,ELSZ,Whittier,WHIT,Whittier Heights fault
PNRA-ELSZ-WHIT-Workman_Hill_fault-CFM1,Peninsular Ranges Area,PNRA,Elsinore-Laguna Salada fault zone,ELSZ,Whittier,WHIT,Workman Hill fault
PNRA-ELSZ-YUHA-Sierra_Cucapah_fault_blind_north-CFM5,Peninsular Ranges Area,PNRA,Elsinore-Laguna Salada fault zone,ELSZ,Yuha Desert,YUHA,Sierra Cucapah fault-blind
PNRA-ELSZ-YUHA-Sierra_Cucapah_fault_NW_splay-CFM5,Peninsular Ranges Area,PNRA,Elsinore-Laguna Salada fault zone,ELSZ,Yuha Desert,YUHA,Sierra Cucapah fault-NW_splay
PNRA-ELSZ-YUHA-Yuha_Desert_blind_fault-CFM6,Peninsular Ranges Area,PNRA,Elsinore-Laguna Salada fault zone,ELSZ,Yuha Desert,YUHA,Yuha Desert blind fault
PNRA-HSSF-AGCT-Agua_Caliente_fault_zone-CFM4,Peninsular Ranges Area,PNRA,Hot Springs-San Felipe fault zone,HSSF,Agua Caliente,AGCT,Agua Caliente fault zone
PNRA-HSSF-HOTS-Hot_Springs_fault-CFM4,Peninsular Ranges Area,PNRA,Hot Springs-San Felipe fault zone,HSSF,Hot Springs,HOTS,Hot Springs Fault
PNRA-HSSF-MRHS-Murrieta_Hotsprings_fault-CFM4,Peninsular Ranges Area,PNRA,Hot Springs-San Felipe fault zone,HSSF,Murietta-Hot Springs,MRHS,Murietta-Hot Springs fault
PNRA-NBJD-CDVD-Canada_David_detachment-CFM3,Peninsular Ranges Area,PNRA,Northern Baja detachments,NBJD,Canada David,CDVD,Canada David detachment
PNRA-NBJD-SRCP-Cerro_Centinela_fault-CFM2,Peninsular Ranges Area,PNRA,Northern Baja detachments,NBJD,Sierra Cucapah,SRCP,Cerro-Centinela fault
PNRA-NIRC-LABS-Newport_Inglewood_fault-CFM5,Peninsular Ranges Area,PNRA,Newport-Inglewood-Rose Canyon fault zone,NIRC,Multiple-Los Angeles basin,LABS,Newport-Inglewood fault
PNRA-SJFZ-ANZA-Buck_Ridge_fault-CFM4,Peninsular Ranges Area,PNRA,San Jacinto fault zone,SJFZ,Anza,ANZA,Buck Ridge fault
PNRA-SJFZ-ANZA-Clark_fault_north-CFM4,Peninsular Ranges Area,PNRA,San Jacinto fault zone,SJFZ,Anza,ANZA,Clark fault-north
PNRA-SJFZ-ANZA-Clark_fault_south_east-CFM4,Peninsular Ranges Area,PNRA,San Jacinto fault zone,SJFZ,Anza,ANZA,Clark fault-south-east
PNRA-SJFZ-ANZA-Clark_fault_south_main-CFM4,Peninsular Ranges Area,PNRA,San Jacinto fault zone,SJFZ,Anza,ANZA,Clark fault-south
PNRA-SJFZ-ANZA-Clark_fault_south_west-CFM4,Peninsular Ranges Area,PNRA,San Jacinto fault zone,SJFZ,Anza,ANZA,Clark fault-south-west
PNRA-SJFZ-ANZA-Clark_fault_south_west_link-CFM4,Peninsular Ranges Area,PNRA,San Jacinto fault zone,SJFZ,Anza,ANZA,Clark fault-south-west
PNRA-SJFZ-ANZA-Hot_Springs_Buck_Ridge_link-CFM4,Peninsular Ranges Area,PNRA,San Jacinto fault zone,SJFZ,Anza,ANZA,Buck Ridge-Hot Springs link
PNRA-SJFZ-BRMT-Coyote_Creek_blind_fault_north_east-CFM4,Peninsular Ranges Area,PNRA,San Jacinto fault zone,SJFZ,Borrego Mountain,BRMT,Coyote Creek fault-northeast
PNRA-SJFZ-BRMT-Coyote_Creek_fault-CFM4,Peninsular Ranges Area,PNRA,San Jacinto fault zone,SJFZ,Borrego Mountain,BRMT,Coyote Creek fault
PNRA-SJFZ-CYTC-Coyote_Creek_fault_center_east_splay-CFM4,Peninsular Ranges Area,PNRA,San Jacinto fault zone,SJFZ,Coyote Creek,CYTC,Coyote Creek fault-center
PNRA-SJFZ-CYTC-Coyote_Creek_fault-CFM4,Peninsular Ranges Area,PNRA,San Jacinto fault zone,SJFZ,Coyote Creek,CYTC,Coyote Creek fault
PNRA-SJFZ-IMPV-Dixieland_fault-CFM5,Peninsular Ranges Area,PNRA,San Jacinto fault zone,SJFZ,Imperial Valley,IMPV,Dixieland_fault
PNRA-SJFZ-IMPV-Weinert_El_Centro_fault-CFM5,Peninsular Ranges Area,PNRA,San Jacinto fault zone,SJFZ,Imperial Valley,IMPV,Weinert-El Centro fault
PNRA-SJFZ-IMPV-Weinert_Superstition_Hills_link-CFM5,Peninsular Ranges Area,PNRA,San Jacinto fault zone,SJFZ,Imperial Valley,IMPV,Weinert-Superstition Hills link
PNRA-SJFZ-SBRN-Glen_Helen_fault_NW-CFM6,Peninsular Ranges Area,PNRA,San Jacinto fault zone,SJFZ,San Bernardino,SBRN,Glen Helen fault-NW extension
PNRA-SJFZ-SBRN-Glen_Helen_fault_SE-CFM6,Peninsular Ranges Area,PNRA,San Jacinto fault zone,SJFZ,San Bernardino,SBRN,Glen Helen fault-SE extension
PNRA-SJFZ-SBRN-Loma_Linda_fault-CFM4,Peninsular Ranges Area,PNRA,San Jacinto fault zone,SJFZ,San Bernardino,SBRN,Loma Linda fault
PNRA-SJFZ-SBRN-Lytle_Creek_fault-CFM5,Peninsular Ranges Area,PNRA,San Jacinto fault zone,SJFZ,San Bernardino,SBRN,Lytle Creek fault
PNRA-SJFZ-SBRN-Rialto_Colton_fault-CFM4,Peninsular Ranges Area,PNRA,San Jacinto fault zone,SJFZ,San Bernardino,SBRN,Rialto-Colton fault
PNRA-SJFZ-SBRN-San_Jacinto_Claremont_fault-CFM4,Peninsular Ranges Area,PNRA,San Jacinto fault zone,SJFZ,San Bernardino,SBRN,San Jacinto-Claremont fault
PNRA-SJFZ-SJCV-Casa_Loma_fault-CFM4,Peninsular Ranges Area,PNRA,San Jacinto fault zone,SJFZ,San Jacinto Valley,SJCV,Casa Loma fault
PNRA-SJFZ-SJCV-Claremont_fault-CFM4,Peninsular Ranges Area,PNRA,San Jacinto fault zone,SJFZ,San Jacinto Valley,SJCV,Claremont fault
PNRA-SJFZ-SJCV-Hot_Springs_fault-CFM4,Peninsular Ranges Area,PNRA,San Jacinto fault zone,SJFZ,San Jacinto Valley,SJCV,Hot Springs fault
PNRA-SJFZ-SJCV-Hot_Springs_fault_west-CFM4,Peninsular Ranges Area,PNRA,San Jacinto fault zone,SJFZ,San Jacinto Valley,SJCV,Hot Springs fault-west
PNRA-SJFZ-SJCV-San_Jacinto_Claremont_fault_east-CFM4,Peninsular Ranges Area,PNRA,San Jacinto fault zone,SJFZ,San Jacinto Valley,SJCV,Claremont fault
PNRA-SJFZ-SSHS-Superstition_Hills_fault-CFM4,Peninsular Ranges Area,PNRA,San Jacinto fault zone,SJFZ,Superstition Hills,SSHS,Superstition Hills fault
PNRA-SJFZ-SSMT-Superstition_Mountain_fault-CFM4,Peninsular Ranges Area,PNRA,San Jacinto fault zone,SJFZ,Superstition Mountain,SSMT,Superstition Mountain fault
PNRA-SJFZ-SSMT-West_Mesa_fault-CFM5,Peninsular Ranges Area,PNRA,San Jacinto fault zone,SJFZ,Superstition Mountain,SSMT,West Mesa fault
SAFS-MHFZ-LSBM-Berdoo_Canyon_fault-CFM4,San Andreas Fault System,SAFS,Mecca Hills-Hidden Springs fault zone,MHFZ,Little San Bernardino Mts,LSBM,Berdoo Canyon fault
SAFS-MHFZ-LSBM-Indio_Hills_fault-CFM4,San Andreas Fault System,SAFS,Mecca Hills-Hidden Springs fault zone,MHFZ,Little San Bernardino Mts,LSBM,Indio Hills fault
SAFS-MHFZ-MCHS-Hidden_Springs_fault-CFM4,San Andreas Fault System,SAFS,Mecca Hills-Hidden Springs fault zone,MHFZ,Mecca Hills,MCHS,Hidden Springs fault
SAFS-MHFZ-MCHS-Mecca_Hills_fault-CFM4,San Andreas Fault System,SAFS,Mecca Hills-Hidden Springs fault zone,MHFZ,Mecca Hills,MCHS,Mecca Hills fault
SAFS-MHFZ-MCHS-Painted_Canyon_fault-CFM4,San Andreas Fault System,SAFS,Mecca Hills-Hidden Springs fault zone,MHFZ,Mecca Hills,MCHS,Painted Canyon fault
SAFS-MHFZ-MULT-Mecca_Hills_Hidden_Springs_fault-CFM4,San Andreas Fault System,SAFS,Mecca Hills-Hidden Springs fault zone,MHFZ,Multiple sections,MULT,Mecca Hills-Hidden Springs fault
SAFS-SAFZ-BSZS-Southern_San_Andreas_blind_extension-CFM4,San Andreas Fault System,SAFS,San Andreas fault zone,SAFZ,Brawley Seismic Zone,BSZS,Southern San Andreas fault
SAFS-SAFZ-CHLM-San_Andreas_fault-CFM6,San Andreas Fault System,SAFS,San Andreas fault zone,SAFZ,Cholame,CHLM,San Andreas fault
SAFS-SAFZ-COAV-Banning_North_Palm_Springs_fault_splay-CFM4,San Andreas Fault System,SAFS,San Andreas fault zone,SAFZ,Coachella,COAV,Banning-North Palm Springs fault splay
SAFS-SAFZ-COAV-East_Shoreline_fault-CFM5,San Andreas Fault System,SAFS,San Andreas fault zone,SAFZ,Coachella,COAV,East Shoreline Fault
SAFS-SAFZ-COAV-Mission_Creek_fault_strand-CFM4,San Andreas Fault System,SAFS,San Andreas fault zone,SAFZ,Coachella,COAV,Mission Creek fault strand
SAFS-SAFZ-COAV-North_Palm_Springs_fault-CFM4,San Andreas Fault System,SAFS,San Andreas fault zone,SAFZ,Coachella,COAV,North Palm Springs fault
SAFS-SAFZ-COAV-North_Palm_Springs_fault_lower_splay-CFM6,San Andreas Fault System,SAFS,San Andreas fault zone,SAFZ,Coachella,COAV,North Palm Springs fault-lower splay
SAFS-SAFZ-COAV-Southern_San_Andreas_fault-CFM4,San Andreas Fault System,SAFS,San Andreas fault zone,SAFZ,Coachella,COAV,Southern San Andreas fault
SAFS-SAFZ-CRRZ-San_Andreas_fault-CFM6,San Andreas Fault System,SAFS,San Andreas fault zone,SAFZ,Carrizo,CRRZ,San Andreas fault
SAFS-SAFZ-MJVS-San_Andreas_fault-CFM6,San Andreas Fault System,SAFS,San Andreas fault zone,SAFZ,Mojave,MJVS,San Andreas fault
SAFS-SAFZ-MULT-Banning_fault-CFM6,San Andreas Fault System,SAFS,San Andreas fault zone,SAFZ,San Bernardino-Coachella Valley,MULT,Banning fault strand
