name,abb
Agua Tibia-Earthquake Valley fault zone,ATEV
Airport Lake fault zone,ALFZ
Ash Hill-Tank Canyon fault system,AHTC
Big Bear Fault system,BBFS
Big Pine-Pine Mountain fault zone,BPPM
Black Mountain fault zone,BMFZ
Blackwater fault zone,BWFZ
Blue Cut fault zone,BCFZ
Brawley Seismic Zone,BRSZ
Calico-Hildalgo fault zone,CHFZ
Camp Rock-Emerson-Copper Mountain fault zone,CREC
Casmalia-Baseline fault system,CSBL
Cerro Prieto fault zone,CPFZ
Chiriaco fault zone,CHRC
Cleghorn fault zone,CLGZ
Coastal Faults,CSTF
Compton-Lower Elysian Park fault system,CLEP
Coronado Bank Detachment,CBKD
Coronado Bank fault zone,CBFZ
Coso Junction fault zone,CJFZ
Cross Faults,CRSF
Davies Valley fault zone,DVVZ
Descanso fault system,DSCS
Eastern California shear zone,ECSZ
East Santa Cruz Basin fault system,ESCS
Elsinore-Laguna Salada fault zone,ELSZ
Ferrelo fault zone,FRFZ
Garlock fault zone,GRFZ
Goldstone Lake-Paradise fault system,GLPS
Harper fault zone,HPFZ
Helendale-South Lockhart fault zone,HSLZ
Hosgri-San Simeon fault zone,HSFZ
Hot Springs-San Felipe fault zone,HSSF
Hunter Mountain fault zone,HMFZ
Imperial fault zone,IMFZ
Inner Borderland fault system,IBFS
Johnson Valley-Homestead Valley fault zone,JVHZ
Kern Canyon fault system,KRCS
La Panza fault zone,LPNZ
Lavic Lake-Bullion Mountains fault zone,LLBM
Lenwood-Lockhart fault zone,LWLZ
Lions Head fault zone,LNHZ
Little Lake fault zone,LLFZ
Little San Bernadino Mountains fault region,LSBM
Lompoc Fault Zone,LMPZ
Los Osos fault system,LOSO
Ludlow-Cleghorn Lake fault zone,LCLZ
Mecca Hills-Hidden Springs fault zone,MHFZ
Mission Ridge fault system,MRFS
Nacimiento fault zone,NAFZ
Newport-Inglewood-Rose Canyon fault zone,NIRC
North Channel-Ventura fault system,NCVS
Northeast Mojave faults,NEMV
Northern Baja detachments,NBJD
Northern Death Valley fault zone,NDVZ
North Frontal thrust system,NFTS
Oak Ridge fault zone,ORFZ
Oceanic fault zone,OCNZ
Oceanside Detachment,OCSD
Offshore Santa Maria Basin system,OSMB
Owens Valley fault zone,OVFZ
Palos Verdes fault zone,PVFZ
Panamint Valley fault zone,PMVZ
Pinto Mountain fault zone,PMFZ
Pisgah-Bullion-Mesquite Lake fault zone,PBMZ
Pleito fault zone,PLFZ
Puente Hills Thrust system,PHTS
Rinconada-East Huasna fault system,REHZ
San Andreas fault zone,SAFZ
San Bernardino Mountains fault region,SBMT
San Cayetano fault zone,SCFZ
San Clemente fault zone,SCFZ
San Diego Trough fault zone,SDTZ
San Fernando fault system,SFNS
San Gabriel fault zone,SGFZ
San Gabriel Mountain faults,SGMF
San Gorgonio Pass fault region,SGPR
San Jacinto fault zone,SJFZ
San Juan-Morales fault zone,SJMZ
San Luis Range fault system,SLRS
San Mateo-San Onofre-Carlsbad fault system,SMCS
San Pedro Basin fault zone,SPBZ
San Pedro Escarpment fault system,SPES
Santa Ana fault zone,SANA
Santa Barbara Channel faults,SBCF
Santa Cruz-Catalina Ridge fault system,SCCR
Santa Lucia Bank fault system,SLBS
Santa Monica Bay fault system,SMBS
Santa Susana fault zone,SSFZ
Santa Ynez fault zone,SYFZ
Santa Ynez River fault zone,SYRZ
Sierra Madre fault zone,SMFZ
Simi-Santa Rosa fault zone,SSRZ
Sisar-Padre Juan fault system,SPJS
South Cuyama-Ozena fault zone,SCFZ
Southern Boundary thrust system,SBTS
Southern Death Valley fault zone,SDVZ
Southern Frontal fault system,SFFS
Southern Sierra Nevada fault zone,SSNZ
Temblor-Diablo Range thrust system,TDRS
Upper Santa Ana Valley fault system,USAV
White Wolf fault zone,WWFZ
Wilmington Blind Fault System,WBFS
