CFM5.3 Fault Object Name,Num,Fault Area/Major Fault System,Code,Num_2,Fault Zone/Region,Code_2,Num_3,Fault Section,Code_3,Num_4,Fault Name,Code_4,Alternative,Source/Author,Last Update,Descriptor,Avg Strike,Avg Dip,Area [km^2],Exposure,Slip Sense,ID Comments,USGS ID,Fault Strand/Model Description,References
WTRA-USAV-USAV-San_Jose_fault-CFM5,5,Western Transverse Ranges Area,WTRA,15,Upper Santa Ana Valley fault system,USAV,1,Upper Santa Ana Valley,USAV,1,San Jose fault,SJSF,1,UCSB,CFM5,,237,76,335.56,surface,ollr,propose 107a,107,Qfaults + relocated seismicity,"Yeats 2004 (GSA Bull.), Bryant, 2005+updates; Hauksson et al., 2012+updates; Nicholson et al., 2014; Plesch et al., 2014"
WTRA-USAV-USAV-Upland_fault_dipslip-CFM1,5,Western Transverse Ranges Area,WTRA,15,Upper Santa Ana Valley fault system,USAV,1,Upper Santa Ana Valley,USAV,2,Upland fault,UPLF,1,HRVD,CFM1,,228,68,231.86,surface,ollr,propose 107b,107,dipslip model,"Hauksson & Jones 1991 (JGR), Astiz et al. 2000 (JGR)"
WTRA-USAV-USAV-Walnut_Creek_fault-CFM5,5,Western Transverse Ranges Area,WTRA,15,Upper Santa Ana Valley fault system,USAV,1,Upper Santa Ana Valley,USAV,3,Walnut Creek fault,WNCF,1,UCSB,CFM5,,240,75,222.15,surface,ollr,,333,Qfaults + relocated seismicity,"Bryant, 2005+updates; Hauksson et al., 2012+updates; Nicholson et al., 2014; Plesch et al., 2014"
WTRA-USAV-USAV-Indian_Hill_fault-CFM5,5,Western Transverse Ranges Area,WTRA,15,Upper Santa Ana Valley fault system,USAV,1,Upper Santa Ana Valley,USAV,4,Indian Hill fault,INHF,1,UCSB,CFM5,,256,77,361.88,surface,ollr,,331,Qfaults + relocated seismicity,"Bryant, 2005+updates; Hauksson et al., 2012+updates; Nicholson et al., 2014; Plesch et al., 2014"
WTRA-SBTS-MULT-Channel_Islands_Thrust_fault-CFM1,5,Western Transverse Ranges Area,WTRA,16,Southern Boundary thrust system,SBTS,0,Santa Cruz Is-Anacapa,MULT,1,Channel Islands thrust,CIT,2,SHAW,CFM1,,272,19,1890.4,blind,r,,missing,,"Shaw and Suppe, 1994 (GSA Bulletin)"
WTRA-SBTS-SMNB-Santa_Monica_thrust_fault-CFM1,5,Western Transverse Ranges Area,WTRA,16,Southern Boundary thrust system,SBTS,4,Santa Monica Bay,SMNB,1,Santa Monica thrust,SMNT,2,HRVD,CFM1,,259,39,711.53,blind,ollr,,missing,,"Dolan & Pratt 1997 (GRL), Tsutsumi et al. 2001 (GSA Bull.)"
WTRA-SBTS-ANCP-Anacapa_Dume_fault-CFM3,5,Western Transverse Ranges Area,WTRA,16,Southern Boundary thrust system,SBTS,3,Anacapa-Dume,ANCP,1,Anacapa-Dume fault,ADMF,1,CMDT,CFM3,,261,41,1520.12,blind,r,,100,,"Sorlien et al., 2003, 2006"
WTRA-SGMF-SANC-San_Antonio_Canyon_fault-CFM5,5,Western Transverse Ranges Area,WTRA,17,San Gabriel Mountain faults,SGMF,1,San Antonio Canyon,SANC,1,San Antonio Canyon fault-truncated,SACF,1,UCSB,CFM5,,38,89,204.86,surface,llss,,328,Qfaults + relocated seismicity,"Bryant, 2005+updates; Hauksson et al., 2012+updates; Nicholson et al., 2017"
WTRA-SGMF-SANC-San_Antonio_Canyon_fault_splay_truncated-CFM5,5,Western Transverse Ranges Area,WTRA,17,San Gabriel Mountain faults,SGMF,1,San Antonio Canyon,SANC,2,San Antonio Canyon fault splay-truncated,SACF,1,UCSB,CFM5,,243,85,81.01,surface,llss,,,Qfaults + relocated seismicity,"Bryant, 2005+updates; Hauksson et al., 2012+updates; Nicholson et al., 2017"
WTRA-SGMF-ICHC-Icehouse_Canyon_fault_truncated-CFM5,5,Western Transverse Ranges Area,WTRA,17,San Gabriel Mountain faults,SGMF,3,Icehouse Canyon,ICHC,1,Icehouse Canyon fault-truncated,IHCF,1,UCSB,CFM5,,103,89,54.08,surface,rlss,,330,Qfaults + relocated seismicity,"Bryant, 2005+updates; Hauksson et al., 2012+updates; Nicholson et al., 2017"
WTRA-SGMF-STDC-South_Fork_Stoddard_Canyon_fault_truncated-CFM5,5,Western Transverse Ranges Area,WTRA,17,San Gabriel Mountain faults,SGMF,2,Stoddard Canyon,STDC,2,South Fork-Stoddard Canyon fault-truncated,SFSC,1,UCSB,CFM5,,256,86,148.94,surface,ollr,,125a,Qfaults + relocated seismicity,"Bryant, 2005+updates; Hauksson et al., 2012+updates; Nicholson et al., 2017"
WTRA-SGMF-STDC-Stoddard_Canyon_fault_truncated-CFM5,5,Western Transverse Ranges Area,WTRA,17,San Gabriel Mountain faults,SGMF,2,Stoddard Canyon,STDC,1,Stoddard Canyon fault-truncated,SDCF,1,UCSB,CFM5,,223,83,150.55,surface,ollr,,329,Qfaults + relocated seismicity,"Bryant, 2005+updates; Hauksson et al., 2012+updates; Nicholson et al., 2017"
WTRA-SBCF-MULT-Western_Deep_fault-CFM5,5,Western Transverse Ranges Area,WTRA,18,Santa Barbara Channel faults,SBCF,0,Multiple sections,MULT,1,Western Deep fault,WSDF,,UCSB,CFM5,,104,31,624.8,blind,r,,missing,"Sorlien model of shallow portion from MCS; CVMH; Lower portion from Novoa et al. 1998. Lower and Upper models merged and smoothed into single surface by Marshall and Plesch, Dec 2020.","Novoa, 1997 (PhD dissertation); Novoa et al., 1998; Sorlien et al., 2014, 2016; Sorlien and Nicholson, 2015; Nicholson et al., 2016, 2017; Plesch et al., 2016"
